,A,B,C,D,E,F
326,out,out,other,other,recreationArea,other
327,out,mainHall,out,out,out,out
328,out,mainHall,other,other,recreationArea,hallD
329,out,mainHall,other,recreationArea,recreationArea,recreationArea
330,out,mainHall,out,out,out,out
331,out,mainHall,other,other,other,other
332,out,out,out,exhibition,other,hallB
333,out,mainHall,out,out,out,out
334,out,out,out,out,out,out
335,out,mainHall,other,out,out,out
336,out,mainHall,diningHall,recreationArea,exhibition,other
337,out,mainHall,diningHall,recreationArea,other,recreationArea
338,out,mainHall,diningHall,hallC,other,recreationArea
339,out,other,other,other,out,out
340,out,mainHall,other,hallB,recreationArea,hallB
341,out,mainHall,diningHall,hallB,other,hallB
342,out,mainHall,other,out,out,out
343,out,mainHall,out,out,out,out
344,out,mainHall,diningHall,hallA,other,hallC
345,out,mainHall,diningHall,other,recreationArea,hallB
346,out,mainHall,diningHall,other,exhibition,other
347,out,mainHall,other,hallA,recreationArea,hallB
348,out,out,out,hallC,exhibition,hallD
349,out,mainHall,other,out,out,out
350,out,mainHall,diningHall,hallB,other,other
351,out,mainHall,diningHall,other,recreationArea,hallD
352,out,mainHall,out,out,out,out
353,out,mainHall,other,other,exhibition,other
354,out,mainHall,out,out,out,out
355,out,mainHall,diningHall,hallD,recreationArea,recreationArea
356,exhibition,exhibition,other,exhibition,exhibition,exhibition
357,out,other,other,other,other,out
358,out,mainHall,diningHall,hallD,other,hallD
359,out,mainHall,diningHall,other,recreationArea,hallC
360,out,mainHall,out,out,out,out
361,out,mainHall,out,out,out,out
362,out,mainHall,diningHall,exhibition,recreationArea,hallC
363,out,out,out,hallA,other,other
364,out,mainHall,other,other,recreationArea,recreationArea
365,out,mainHall,out,out,out,out
366,out,out,out,hallD,recreationArea,other
367,out,out,out,other,hallA,hallA
368,out,mainHall,recreationArea,hallB,other,recreationArea
369,out,out,out,out,out,out
370,out,other,out,out,out,out
371,out,out,out,other,other,hallA
372,out,out,out,hallD,recreationArea,recreationArea
373,out,out,out,hallC,other,hallC
374,out,mainHall,other,hallA,other,hallC
375,out,mainHall,diningHall,hallC,other,hallD
376,out,out,out,other,other,hallB
377,out,other,out,out,out,out
378,out,out,out,hallC,other,hallD
379,out,out,out,hallB,other,hallA
380,out,mainHall,diningHall,exhibition,exhibition,hallB
381,out,mainHall,diningHall,other,other,other
382,out,mainHall,out,out,out,out
383,out,out,out,hallC,other,hallC
384,out,mainHall,diningHall,hallA,recreationArea,hallB
385,out,mainHall,out,out,out,out
386,out,other,other,other,out,out
387,out,mainHall,recreationArea,hallB,other,hallB
388,out,mainHall,out,out,out,out
389,out,mainHall,other,out,out,out
390,out,mainHall,diningHall,out,out,out
391,out,out,out,hallA,other,hallA
392,out,mainHall,diningHall,hallD,other,hallD
393,out,other,out,out,out,out
394,out,mainHall,out,out,out,out
395,out,mainHall,out,out,out,out
396,out,out,out,hallC,other,hallD
397,out,mainHall,other,hallC,recreationArea,recreationArea
398,out,out,out,exhibition,other,other
399,out,mainHall,other,hallC,other,recreationArea
400,other,other,other,other,other,other
401,out,mainHall,other,hallC,recreationArea,recreationArea
402,out,out,out,hallD,other,hallD
403,out,mainHall,diningHall,other,other,recreationArea
404,out,mainHall,diningHall,hallD,other,hallD
405,out,mainHall,diningHall,out,out,out
406,out,mainHall,recreationArea,other,other,other
407,out,mainHall,out,out,out,out
408,other,other,other,out,out,out
409,out,mainHall,other,hallC,recreationArea,hallC
410,out,mainHall,out,out,out,out
411,other,mainHall,out,out,out,out
412,out,mainHall,out,out,out,out
413,out,mainHall,out,out,out,out
414,out,out,out,hallA,other,hallA
415,out,other,other,other,other,out
416,out,mainHall,out,out,out,out
417,out,out,out,other,other,other
418,out,out,out,hallD,recreationArea,hallD
419,out,mainHall,other,out,out,out
420,out,mainHall,other,recreationArea,other,other
421,out,mainHall,diningHall,hallC,recreationArea,hallC
422,out,mainHall,other,hallC,other,hallC
423,out,mainHall,other,hallD,other,hallD
424,out,mainHall,out,out,out,out
425,out,mainHall,other,hallC,other,recreationArea
426,out,mainHall,other,other,other,hallA
427,out,mainHall,out,out,out,out
428,out,mainHall,out,out,out,out
429,out,mainHall,other,hallC,other,recreationArea
430,out,mainHall,out,out,out,out
431,out,mainHall,out,out,out,out
432,out,mainHall,other,out,out,out
433,out,mainHall,out,out,out,out
434,out,mainHall,diningHall,hallB,other,other
435,out,out,out,hallD,recreationArea,hallD
436,out,mainHall,out,out,out,out
437,out,out,out,hallD,other,hallD
438,out,out,out,hallB,recreationArea,other
439,out,exhibition,out,out,out,out
440,out,mainHall,out,out,out,out
441,out,out,out,out,out,out
442,out,mainHall,out,out,out,out
443,out,mainHall,out,out,out,out
444,out,mainHall,recreationArea,exhibition,recreationArea,other
445,out,other,other,hallB,other,hallA
446,other,other,other,other,other,other
447,out,mainHall,out,out,out,out
448,out,mainHall,out,out,out,out
449,out,mainHall,out,out,out,out
450,out,mainHall,other,out,out,out
451,out,out,out,out,out,out
452,out,mainHall,out,out,out,out
453,out,out,out,hallD,exhibition,other
454,out,mainHall,out,out,out,out
455,out,mainHall,diningHall,recreationArea,other,recreationArea
456,out,mainHall,other,other,exhibition,exhibition
457,out,mainHall,diningHall,hallD,other,hallD
458,out,mainHall,out,out,out,out
459,out,out,out,out,out,out
460,out,out,out,out,out,out
461,out,mainHall,out,out,out,out
462,out,mainHall,diningHall,hallC,recreationArea,hallC
463,out,mainHall,other,hallC,other,hallC
464,out,exhibition,out,out,out,out
465,out,mainHall,out,out,out,out
466,out,mainHall,other,recreationArea,other,recreationArea
467,out,mainHall,out,out,out,out
468,out,other,out,out,out,out
469,out,mainHall,out,out,out,out
470,out,mainHall,diningHall,hallC,other,hallD
471,out,out,out,other,other,other
472,out,mainHall,other,hallB,other,hallB
473,out,mainHall,diningHall,exhibition,other,hallD
474,out,mainHall,out,out,out,out
475,out,out,out,out,out,out
476,out,mainHall,diningHall,recreationArea,other,hallD
477,out,mainHall,other,hallC,other,hallB
478,out,out,out,other,other,recreationArea
479,out,mainHall,diningHall,hallC,other,recreationArea
480,out,mainHall,diningHall,hallB,other,recreationArea
481,out,mainHall,recreationArea,hallB,recreationArea,exhibition
482,out,out,out,out,out,out
483,out,mainHall,other,out,out,out
484,out,other,out,out,out,out
485,out,mainHall,diningHall,other,recreationArea,recreationArea
486,out,out,out,hallC,other,other
487,out,mainHall,other,hallC,exhibition,other
488,out,mainHall,other,hallD,recreationArea,recreationArea
489,out,mainHall,out,out,out,out
490,out,mainHall,out,out,out,out
491,out,out,other,hallC,hallC,hallC
492,out,mainHall,out,out,out,out
493,mainHall,mainHall,other,other,other,other
494,out,out,out,exhibition,other,recreationArea
495,out,out,out,other,exhibition,hallD
496,out,mainHall,other,other,exhibition,hallD
497,out,mainHall,recreationArea,exhibition,other,exhibition
498,out,mainHall,other,other,exhibition,hallD
499,out,mainHall,out,out,out,out
500,out,mainHall,out,out,out,out
501,out,mainHall,out,out,out,out
502,out,out,out,hallD,exhibition,hallD
503,out,exhibition,out,out,out,out
504,out,mainHall,out,out,out,out
505,out,out,out,hallA,other,hallA
506,out,mainHall,diningHall,hallB,other,hallB
507,out,out,out,out,out,out
508,out,mainHall,diningHall,hallA,other,hallB
509,out,mainHall,other,exhibition,exhibition,hallC
510,out,mainHall,other,hallB,other,other
511,out,mainHall,diningHall,recreationArea,exhibition,other
512,other,other,other,other,other,other
513,out,mainHall,diningHall,hallA,other,hallA
514,out,other,other,out,out,out
515,out,mainHall,diningHall,exhibition,other,recreationArea
516,out,mainHall,out,out,out,out
517,out,mainHall,other,hallD,recreationArea,hallD
518,out,mainHall,other,hallC,other,hallD
519,out,mainHall,diningHall,other,other,recreationArea
520,out,mainHall,other,hallA,hallA,hallB
521,out,mainHall,diningHall,hallB,hallA,other
522,out,out,other,hallA,hallA,hallA
523,out,mainHall,out,out,out,out
524,out,out,out,exhibition,recreationArea,hallB
525,out,mainHall,recreationArea,hallC,other,hallC
526,out,mainHall,other,hallD,recreationArea,hallD
527,out,out,out,other,other,hallD
528,out,exhibition,out,out,out,out
529,out,out,out,hallA,other,hallA
530,out,mainHall,other,out,out,out
531,out,mainHall,other,hallB,recreationArea,hallB
532,out,mainHall,out,out,out,out
533,out,mainHall,out,out,out,out
534,other,other,other,other,other,other
535,out,mainHall,other,out,out,out
536,out,mainHall,out,out,out,out
537,out,mainHall,other,out,out,out
538,out,out,out,out,out,out
539,out,other,other,other,other,out
540,out,mainHall,out,out,out,out
541,out,mainHall,diningHall,hallC,recreationArea,recreationArea
542,out,mainHall,diningHall,exhibition,exhibition,hallC
543,out,out,out,hallA,other,hallB
544,out,mainHall,out,out,out,out
545,out,mainHall,diningHall,hallC,other,other
546,out,other,out,out,out,out
547,out,out,out,hallB,other,recreationArea
548,out,other,out,out,out,out
549,out,mainHall,other,hallB,recreationArea,hallB
550,out,mainHall,other,other,other,hallA
551,out,mainHall,diningHall,hallA,other,hallA
552,out,other,other,other,out,out
553,out,out,out,hallD,other,recreationArea
554,out,mainHall,diningHall,hallB,other,other
555,out,mainHall,other,out,out,out
556,out,mainHall,out,out,out,out
557,out,other,other,other,other,out
558,out,out,other,out,out,out
559,out,out,out,other,other,other
560,out,mainHall,diningHall,hallC,other,other
561,out,other,other,other,other,other
562,out,mainHall,other,other,recreationArea,recreationArea
563,out,out,out,hallB,other,exhibition
564,out,mainHall,out,out,out,out
565,out,mainHall,out,out,out,out
566,out,mainHall,recreationArea,hallC,other,other
567,out,mainHall,diningHall,hallC,other,hallC
568,out,out,out,hallC,recreationArea,recreationArea
569,out,mainHall,other,hallD,other,other
570,out,other,other,other,out,out
571,out,mainHall,out,out,out,out
572,out,mainHall,out,out,out,out
573,out,mainHall,out,out,out,out
574,out,mainHall,other,hallA,other,hallB
575,out,other,other,other,out,out
576,out,out,out,out,out,out
577,out,mainHall,other,other,other,exhibition
578,out,mainHall,out,out,out,out
579,out,mainHall,other,hallC,other,recreationArea
580,out,mainHall,other,other,other,recreationArea
581,out,mainHall,diningHall,hallD,exhibition,recreationArea
582,out,mainHall,diningHall,hallC,recreationArea,other
583,out,out,out,hallD,other,recreationArea
584,out,mainHall,out,out,out,out
585,out,other,out,out,out,out
586,out,mainHall,other,out,out,out
587,out,mainHall,other,other,recreationArea,recreationArea
588,out,mainHall,diningHall,hallC,recreationArea,hallC
589,out,mainHall,out,out,out,out
590,out,mainHall,out,out,out,out
591,out,out,out,exhibition,recreationArea,hallD
592,out,mainHall,other,out,out,out
593,out,mainHall,out,out,out,out
594,out,mainHall,other,other,recreationArea,recreationArea
595,out,out,out,out,out,out
596,out,mainHall,out,out,out,out
597,out,mainHall,out,out,out,out
598,out,mainHall,other,hallA,other,other
599,out,other,other,other,other,out
600,out,out,out,hallB,recreationArea,hallB
601,out,out,out,hallA,other,hallA
602,out,mainHall,other,hallD,other,recreationArea
603,out,mainHall,out,out,out,out
604,out,mainHall,out,out,out,out
605,out,out,out,out,out,out
606,out,mainHall,out,out,out,out
607,out,out,out,other,other,other
608,out,mainHall,other,hallB,other,hallB
609,out,out,out,other,recreationArea,hallA
610,out,mainHall,out,out,out,out
611,out,out,out,hallA,other,other
612,out,out,out,hallC,recreationArea,hallC
613,out,mainHall,out,out,out,out
614,out,mainHall,diningHall,hallB,other,recreationArea
615,out,out,out,hallA,other,hallA
616,out,mainHall,diningHall,other,exhibition,other
617,out,out,out,out,out,out
618,other,other,other,other,other,other
619,out,out,out,hallA,hallA,hallA
620,out,other,other,other,other,out
621,out,mainHall,diningHall,other,recreationArea,hallC
622,out,other,out,out,out,out
623,out,other,other,other,other,out
624,out,mainHall,other,hallD,recreationArea,hallD
625,out,other,other,other,out,out
626,out,mainHall,out,out,out,out
627,out,mainHall,other,other,recreationArea,hallD
628,out,mainHall,diningHall,exhibition,exhibition,hallC
629,out,other,other,other,other,out
630,out,mainHall,other,hallC,recreationArea,hallC
631,out,out,out,out,out,out
632,out,mainHall,diningHall,hallC,recreationArea,recreationArea
633,out,mainHall,out,out,out,out
634,out,out,out,exhibition,other,recreationArea
635,out,mainHall,diningHall,hallC,recreationArea,recreationArea
636,out,mainHall,diningHall,hallC,other,hallB
637,out,out,out,hallA,other,other
638,out,other,diningHall,other,out,out
639,out,mainHall,out,out,out,out
640,out,mainHall,other,other,exhibition,recreationArea
641,out,mainHall,out,out,out,out
642,out,mainHall,diningHall,hallB,recreationArea,other
643,out,other,out,out,out,out
644,out,mainHall,other,hallB,recreationArea,recreationArea
645,out,out,other,out,out,out
646,out,mainHall,other,hallC,other,hallD
647,out,out,out,hallC,exhibition,other
648,out,mainHall,out,out,out,out
649,out,mainHall,other,out,out,out
650,out,mainHall,other,exhibition,other,hallD
651,out,out,out,out,out,out
652,out,mainHall,out,out,out,out
653,out,mainHall,diningHall,hallD,other,hallD
654,out,mainHall,other,hallD,exhibition,recreationArea
655,out,mainHall,out,out,out,out
656,other,other,other,other,other,other
657,out,out,out,other,other,hallA
658,out,out,out,hallC,exhibition,hallD
659,out,out,out,other,recreationArea,hallA
660,out,mainHall,other,other,recreationArea,recreationArea
661,out,mainHall,diningHall,hallC,other,hallB
662,out,mainHall,other,out,out,out
663,other,mainHall,out,out,out,out
664,out,mainHall,other,other,other,hallD
665,out,other,diningHall,other,out,out
666,out,mainHall,other,hallD,other,recreationArea
667,out,exhibition,out,out,out,out
668,out,out,out,hallD,recreationArea,hallD
669,out,out,out,hallA,hallA,hallA
670,out,mainHall,out,out,out,out
671,out,mainHall,other,hallB,other,hallA
672,out,out,out,out,out,out
673,out,out,out,hallD,other,hallD
674,out,mainHall,out,out,out,out
675,out,mainHall,diningHall,hallD,recreationArea,other
676,out,mainHall,out,out,out,out
677,out,mainHall,out,out,out,out
678,out,mainHall,out,out,out,out
679,out,mainHall,out,out,out,out
680,out,mainHall,other,hallB,other,recreationArea
681,out,mainHall,other,other,recreationArea,other
682,out,mainHall,out,out,out,out
683,out,other,out,out,out,out
684,out,mainHall,out,out,out,out
685,out,out,out,hallC,other,hallD
686,out,mainHall,diningHall,hallC,other,hallC
687,out,mainHall,diningHall,hallD,recreationArea,recreationArea
688,out,mainHall,diningHall,hallD,other,recreationArea
689,out,mainHall,other,hallB,other,exhibition
690,out,out,out,out,out,out
691,out,mainHall,out,out,out,out
692,out,mainHall,diningHall,hallA,other,hallA
693,out,mainHall,out,out,out,out
694,out,mainHall,other,hallC,recreationArea,hallC
695,out,mainHall,out,out,out,out
696,out,mainHall,mainHall,out,out,out
697,out,mainHall,out,out,out,out
698,out,out,out,other,other,hallB
699,out,out,out,hallA,other,hallA
700,out,out,out,hallA,recreationArea,hallB
701,out,out,out,hallC,recreationArea,hallC
702,out,mainHall,out,out,out,out
703,out,mainHall,other,hallB,other,hallD
704,out,other,other,other,out,out
705,out,mainHall,diningHall,hallA,other,other
706,out,mainHall,other,exhibition,recreationArea,hallD
707,out,mainHall,other,exhibition,exhibition,hallB
708,out,other,other,other,other,out
709,out,out,out,out,out,out
710,out,out,out,other,other,hallA
711,out,other,other,other,out,out
712,out,other,out,out,out,out
713,out,mainHall,diningHall,other,other,recreationArea
714,out,mainHall,out,out,out,out
715,out,exhibition,out,out,out,out
716,out,out,out,hallA,recreationArea,other
717,out,mainHall,diningHall,hallB,other,hallB
