,A,B,C,D,E,F
72,out,out,out,hallC,recreationArea,other
73,out,mainHall,out,out,out,out
74,out,mainHall,out,out,out,out
75,other,other,other,other,other,other
76,out,mainHall,other,hallA,other,other
77,out,mainHall,other,out,out,out
78,out,mainHall,other,hallC,recreationArea,other
79,out,out,out,hallD,other,hallD
80,out,out,out,other,exhibition,hallA
81,out,mainHall,other,hallD,other,other
82,out,mainHall,other,other,other,other
83,out,out,recreationArea,exhibition,other,other
84,out,mainHall,other,hallB,other,hallC
85,out,out,out,hallB,other,other
86,out,out,out,other,other,hallD
87,out,out,out,out,out,out
88,out,mainHall,recreationArea,hallA,other,hallA
89,out,mainHall,diningHall,hallB,recreationArea,hallB
90,out,mainHall,other,exhibition,exhibition,other
91,other,other,other,other,other,other
92,out,mainHall,out,out,out,out
93,out,mainHall,other,hallB,other,other
94,out,other,out,out,out,out
95,out,mainHall,other,other,other,other
96,out,mainHall,diningHall,hallC,exhibition,other
97,out,mainHall,other,out,out,out
98,out,out,out,out,out,out
99,out,mainHall,diningHall,hallD,recreationArea,recreationArea
100,out,exhibition,recreationArea,hallA,other,hallA
101,out,mainHall,out,out,out,out
102,out,out,out,hallD,recreationArea,hallD
103,out,mainHall,recreationArea,other,other,hallA
104,out,other,other,other,other,out
105,out,mainHall,out,out,out,out
106,out,out,out,hallC,recreationArea,other
107,out,mainHall,diningHall,recreationArea,exhibition,other
108,out,mainHall,diningHall,other,other,other
109,out,mainHall,diningHall,hallC,other,hallC
110,out,out,out,out,out,out
111,out,out,out,hallA,exhibition,other
112,out,mainHall,other,other,other,other
113,out,mainHall,out,out,out,out
114,out,out,out,hallB,recreationArea,other
115,out,mainHall,diningHall,other,recreationArea,other
116,out,mainHall,diningHall,hallB,recreationArea,hallA
117,out,mainHall,diningHall,other,recreationArea,hallB
118,out,mainHall,diningHall,hallC,recreationArea,hallC
119,out,mainHall,other,hallC,other,hallC
120,out,out,out,out,out,out
121,out,out,out,hallB,other,hallA
122,out,mainHall,other,other,other,hallB
123,out,mainHall,diningHall,hallD,other,other
124,out,other,other,other,other,other
125,out,mainHall,other,hallB,other,hallC
126,out,out,out,hallD,hallD,hallD
127,out,out,out,out,out,out
128,out,mainHall,diningHall,hallB,other,hallA
129,out,mainHall,other,hallB,other,hallB
130,out,mainHall,diningHall,hallB,recreationArea,other
131,out,mainHall,other,hallB,recreationArea,hallA
132,out,mainHall,diningHall,hallB,recreationArea,hallB
133,out,out,out,out,out,out
134,out,out,out,out,out,out
135,out,out,other,hallB,hallB,hallB
136,out,out,diningHall,exhibition,recreationArea,other
137,out,exhibition,out,out,out,out
138,out,out,out,out,out,out
139,out,mainHall,recreationArea,exhibition,exhibition,other
140,out,mainHall,diningHall,hallB,recreationArea,other
141,out,mainHall,other,hallB,recreationArea,hallB
142,out,mainHall,diningHall,other,recreationArea,other
143,out,out,out,out,out,out
144,out,mainHall,out,out,out,out
145,out,mainHall,other,hallC,recreationArea,hallC
146,out,out,out,hallB,recreationArea,other
147,out,mainHall,out,out,out,out
148,out,mainHall,diningHall,hallD,recreationArea,other
149,out,mainHall,out,out,out,out
150,out,out,out,out,out,out
151,out,out,out,out,out,out
152,out,out,out,out,out,out
153,out,other,other,other,other,other
154,out,out,out,hallB,hallA,hallA
155,out,out,out,exhibition,other,hallB
156,out,mainHall,out,out,out,out
157,out,out,out,hallA,recreationArea,other
158,out,mainHall,other,hallB,other,other
159,out,mainHall,other,hallC,recreationArea,hallB
160,out,out,out,hallC,recreationArea,other
161,out,mainHall,out,out,out,out
162,out,exhibition,out,out,out,out
163,out,mainHall,out,out,out,out
164,out,out,out,out,out,out
165,out,mainHall,other,hallB,other,hallA
166,out,out,out,hallB,other,other
167,out,mainHall,out,out,out,out
168,out,out,out,hallB,other,hallB
169,out,mainHall,other,hallC,other,hallC
170,out,other,other,other,out,out
171,out,out,out,hallD,recreationArea,hallD
172,out,mainHall,other,recreationArea,exhibition,other
173,out,mainHall,diningHall,exhibition,other,other
174,out,out,out,hallB,other,hallA
175,out,mainHall,diningHall,other,other,other
176,out,mainHall,other,other,recreationArea,other
177,out,mainHall,out,out,out,out
178,out,mainHall,out,out,out,out
179,out,out,out,hallD,other,hallC
180,out,mainHall,other,hallC,recreationArea,other
181,out,other,other,other,out,out
182,out,mainHall,out,out,out,out
183,out,out,out,out,out,out
184,out,mainHall,diningHall,out,out,out
185,out,out,out,out,out,out
186,out,other,other,other,out,out
187,out,mainHall,other,exhibition,exhibition,other
188,out,mainHall,diningHall,exhibition,other,hallB
189,out,mainHall,out,out,out,out
190,out,mainHall,diningHall,other,other,other
191,out,mainHall,other,hallB,other,hallA
192,out,out,out,exhibition,other,other
193,out,mainHall,other,hallC,other,hallC
194,out,out,out,out,out,out
195,out,mainHall,out,out,out,out
196,out,out,out,out,out,out
197,out,other,other,other,other,other
198,out,out,out,out,out,out
199,out,out,out,out,out,out
200,out,out,out,out,out,out
201,out,out,out,out,out,out
202,out,mainHall,out,out,out,out
203,out,out,out,hallB,hallA,hallA
204,out,out,out,out,out,out
205,out,out,out,out,out,out
206,out,out,out,other,other,other
207,out,mainHall,diningHall,hallB,other,other
208,out,out,out,out,out,out
209,out,mainHall,diningHall,hallC,other,hallA
210,out,mainHall,diningHall,other,other,hallB
211,out,mainHall,recreationArea,hallB,recreationArea,hallB
212,out,mainHall,diningHall,hallD,other,other
213,out,mainHall,diningHall,out,out,out
214,out,out,out,out,out,out
215,out,mainHall,diningHall,other,other,exhibition
216,out,mainHall,diningHall,other,other,hallB
217,out,mainHall,diningHall,hallB,recreationArea,other
218,out,out,out,hallD,other,hallD
219,out,mainHall,diningHall,hallB,exhibition,hallA
220,out,out,out,out,out,out
221,out,mainHall,out,out,out,out
222,out,mainHall,diningHall,other,recreationArea,other
223,out,out,out,out,out,out
224,out,mainHall,diningHall,exhibition,other,hallC
225,out,out,out,out,out,out
226,out,mainHall,other,other,other,hallC
227,out,mainHall,other,hallB,other,other
228,out,out,out,out,out,out
229,out,mainHall,diningHall,out,out,out
230,out,mainHall,diningHall,hallD,exhibition,hallC
231,out,out,out,hallC,other,other
232,out,out,out,out,out,out
233,out,mainHall,other,hallC,other,other
234,out,mainHall,diningHall,hallD,recreationArea,hallC
235,out,mainHall,other,hallB,other,other
236,out,other,other,exhibition,exhibition,hallC
237,out,mainHall,diningHall,hallC,recreationArea,other
238,out,mainHall,other,hallC,other,hallC
239,out,mainHall,out,out,out,out
240,out,mainHall,other,out,out,out
241,out,mainHall,diningHall,hallC,recreationArea,other
242,out,mainHall,other,other,exhibition,other
243,out,mainHall,other,other,recreationArea,other
244,out,mainHall,recreationArea,hallB,recreationArea,hallB
245,out,other,other,other,other,out
246,out,out,out,other,other,hallD
247,out,mainHall,other,exhibition,exhibition,hallB
248,out,out,out,hallD,other,other
249,out,mainHall,diningHall,hallB,recreationArea,hallB
250,out,mainHall,other,hallC,other,recreationArea
251,out,other,other,other,out,out
252,out,mainHall,out,out,out,out
253,out,out,out,other,other,hallB
254,out,out,out,hallB,other,hallA
255,out,mainHall,diningHall,hallB,recreationArea,other
256,out,mainHall,diningHall,exhibition,recreationArea,other
257,out,mainHall,diningHall,recreationArea,recreationArea,other
258,out,mainHall,other,other,other,other
259,out,out,out,hallA,hallA,hallA
260,out,mainHall,other,hallB,hallA,hallC
261,out,out,out,hallC,other,hallC
262,out,mainHall,diningHall,other,recreationArea,other
263,out,other,other,other,out,out
264,out,out,out,other,other,other
265,out,mainHall,diningHall,hallA,other,recreationArea
266,out,out,out,exhibition,recreationArea,hallA
267,out,mainHall,diningHall,hallB,recreationArea,other
268,out,out,out,out,out,out
269,out,mainHall,other,hallB,other,hallB
270,out,out,out,out,out,out
271,out,exhibition,out,out,out,out
272,out,out,out,hallD,recreationArea,other
273,out,mainHall,out,out,out,out
274,out,out,out,out,out,out
275,out,out,out,out,out,out
276,out,exhibition,other,exhibition,recreationArea,other
277,out,mainHall,diningHall,hallC,exhibition,recreationArea
278,out,mainHall,diningHall,out,out,out
279,out,mainHall,diningHall,other,other,hallC
280,out,mainHall,other,hallB,recreationArea,other
281,out,out,out,out,out,out
282,out,mainHall,other,hallC,other,other
283,out,mainHall,diningHall,hallC,recreationArea,other
284,out,mainHall,other,other,exhibition,other
285,out,mainHall,out,out,out,out
286,out,mainHall,recreationArea,other,hallA,other
287,out,mainHall,diningHall,hallA,other,other
288,out,other,other,other,other,out
289,out,out,out,out,out,out
290,out,out,out,hallD,recreationArea,other
291,out,other,other,other,other,other
292,out,out,out,out,out,out
293,out,mainHall,diningHall,out,out,out
294,out,out,out,out,out,out
295,out,mainHall,out,out,out,out
296,out,mainHall,recreationArea,exhibition,other,hallC
297,out,out,out,hallD,other,other
298,out,mainHall,other,other,other,hallC
299,out,mainHall,diningHall,hallB,recreationArea,other
300,out,mainHall,diningHall,other,other,hallA
301,out,mainHall,other,exhibition,recreationArea,hallB
302,out,mainHall,diningHall,hallB,recreationArea,hallA
303,out,out,out,hallD,other,other
304,out,mainHall,other,exhibition,exhibition,other
305,out,mainHall,diningHall,hallD,other,hallD
306,out,mainHall,out,out,out,out
307,out,out,out,out,out,out
308,out,out,out,out,out,out
309,out,out,out,hallB,other,hallA
310,out,exhibition,out,out,out,out
311,out,mainHall,other,out,out,out
312,out,out,out,out,out,out
313,out,mainHall,diningHall,hallC,recreationArea,other
314,out,mainHall,other,out,out,out
315,out,out,out,hallB,other,hallA
316,out,out,out,out,out,out
317,out,mainHall,other,hallB,other,other
318,out,out,out,out,out,out
319,out,out,out,hallA,other,other
320,out,mainHall,diningHall,hallA,other,hallA
321,out,out,out,out,out,out
322,out,other,exhibition,out,out,out
323,out,out,out,hallA,hallA,hallA
324,out,mainHall,diningHall,hallB,recreationArea,other
325,out,mainHall,other,other,recreationArea,other
326,out,out,out,hallB,recreationArea,other
327,out,mainHall,out,out,out,out
328,out,out,out,out,out,out
329,out,out,out,out,out,out
330,out,out,out,hallD,recreationArea,other
331,out,out,out,out,out,out
332,out,mainHall,out,out,out,out
333,out,mainHall,out,out,out,out
334,out,out,out,out,out,out
335,out,mainHall,other,hallD,other,other
336,out,mainHall,out,out,out,out
337,out,out,out,other,other,other
338,out,out,out,out,out,out
339,out,mainHall,diningHall,out,out,out
340,out,out,out,out,out,out
341,out,out,out,other,recreationArea,other
342,out,mainHall,diningHall,hallB,recreationArea,other
343,out,exhibition,out,out,out,out
344,out,mainHall,diningHall,exhibition,other,recreationArea
345,out,mainHall,diningHall,hallB,recreationArea,hallC
346,out,other,other,other,other,out
347,out,mainHall,other,other,recreationArea,hallA
348,out,out,out,out,out,out
349,out,mainHall,diningHall,hallB,exhibition,other
350,out,out,out,out,out,out
351,out,out,out,hallB,recreationArea,hallB
352,out,out,out,out,out,out
353,out,mainHall,diningHall,hallC,recreationArea,other
354,out,mainHall,diningHall,exhibition,recreationArea,other
355,out,mainHall,diningHall,out,out,out
356,out,out,out,hallB,exhibition,hallB
357,out,mainHall,other,hallC,other,hallC
358,out,out,out,out,out,out
359,out,mainHall,diningHall,hallC,other,hallC
360,out,out,out,out,out,out
361,out,mainHall,out,out,out,out
362,out,mainHall,out,out,out,out
363,out,mainHall,other,hallB,other,hallB
364,out,mainHall,diningHall,hallD,other,other
365,out,out,out,out,out,out
366,out,mainHall,out,out,out,out
367,out,mainHall,other,exhibition,other,hallC
368,out,out,out,hallD,other,hallC
369,out,out,out,other,recreationArea,recreationArea
370,out,out,out,out,out,out
371,out,out,out,out,out,out
372,out,out,out,other,other,other
373,out,out,out,other,hallA,hallA
374,out,other,other,other,out,out
375,out,out,out,out,out,out
376,out,mainHall,out,out,out,out
377,out,out,out,exhibition,other,hallA
378,out,out,out,hallA,other,hallA
379,out,mainHall,other,out,out,out
380,out,out,out,other,other,other
381,out,out,out,out,out,out
382,out,mainHall,diningHall,out,out,out
383,out,mainHall,diningHall,out,out,out
384,out,mainHall,out,out,out,out
385,out,mainHall,out,out,out,out
386,out,mainHall,out,out,out,out
387,out,mainHall,diningHall,out,out,out
388,out,mainHall,out,out,out,out
389,out,out,out,out,out,out
390,out,out,out,hallB,hallA,hallA
391,out,out,out,hallB,other,hallB
392,out,out,out,hallD,recreationArea,other
393,out,out,out,out,out,out
394,out,out,out,hallB,recreationArea,other
395,out,mainHall,out,out,out,out
396,out,mainHall,diningHall,hallC,other,other
397,out,mainHall,other,hallC,other,hallC
398,out,mainHall,out,out,out,out
399,out,mainHall,other,other,recreationArea,hallB
400,out,mainHall,out,out,out,out
401,out,exhibition,out,out,out,out
402,out,mainHall,diningHall,other,other,hallC
403,out,mainHall,diningHall,hallB,recreationArea,other
404,out,out,out,hallA,hallA,hallA
405,out,mainHall,diningHall,hallB,other,other
406,out,mainHall,out,out,out,out
407,out,mainHall,out,out,out,out
408,out,mainHall,out,out,out,out
409,out,mainHall,other,out,out,out
410,out,mainHall,other,other,hallA,hallB
411,out,out,out,out,out,out
412,out,mainHall,diningHall,other,other,other
413,out,mainHall,other,hallB,other,other
414,out,out,out,out,out,out
415,out,out,out,out,out,out
416,out,out,out,other,other,other
417,out,mainHall,other,out,out,out
418,out,other,other,other,out,out
419,out,mainHall,other,hallB,recreationArea,other
420,out,mainHall,out,out,out,out
421,out,out,out,out,out,out
422,out,mainHall,other,other,recreationArea,hallD
423,out,mainHall,out,out,out,out
424,out,mainHall,out,out,out,out
425,out,mainHall,diningHall,hallB,other,other
426,out,other,other,other,out,out
427,out,mainHall,other,out,out,out
428,out,out,other,out,out,out
429,out,mainHall,other,other,other,hallB
430,out,mainHall,out,out,out,out
431,out,other,out,out,out,out
432,out,mainHall,diningHall,hallB,recreationArea,other
433,out,mainHall,out,out,out,out
434,out,mainHall,diningHall,other,other,other
435,out,mainHall,diningHall,hallD,other,other
436,out,mainHall,other,hallD,other,hallC
437,out,mainHall,diningHall,hallC,exhibition,hallC
438,out,out,out,hallD,other,hallD
439,out,exhibition,out,out,out,out
440,out,mainHall,diningHall,recreationArea,exhibition,other
441,out,mainHall,out,out,out,out
442,out,out,out,out,out,out
443,out,mainHall,diningHall,out,out,out
444,out,mainHall,diningHall,out,out,out
445,out,mainHall,diningHall,out,out,out
446,out,mainHall,diningHall,hallA,other,hallA
447,out,mainHall,out,out,out,out
448,out,out,out,hallA,other,other
449,out,mainHall,diningHall,out,out,out
450,out,mainHall,diningHall,hallC,hallC,other
451,out,mainHall,out,out,out,out
452,out,out,out,hallD,recreationArea,other
453,out,mainHall,diningHall,out,out,out
454,out,mainHall,diningHall,other,other,other
455,out,out,out,hallB,recreationArea,hallA
456,out,mainHall,out,out,out,out
457,out,out,out,hallB,recreationArea,hallA
458,out,mainHall,diningHall,hallC,other,other
459,out,mainHall,diningHall,out,out,out
460,out,mainHall,other,other,exhibition,other
461,out,mainHall,diningHall,hallB,other,hallA
462,out,mainHall,other,other,other,other
463,out,exhibition,exhibition,exhibition,exhibition,exhibition
464,out,out,out,exhibition,other,hallA
465,out,other,other,other,other,other
466,out,mainHall,diningHall,hallD,other,hallC
467,out,mainHall,out,out,out,out
468,out,mainHall,out,out,out,out
469,out,mainHall,out,out,out,out
470,out,mainHall,diningHall,hallB,recreationArea,hallA
471,out,out,out,out,out,out
472,out,out,out,hallD,other,hallD
473,out,mainHall,diningHall,hallB,exhibition,hallB
474,out,mainHall,diningHall,exhibition,exhibition,other
475,out,out,out,out,out,out
476,out,exhibition,other,other,recreationArea,hallB
477,out,mainHall,out,out,out,out
478,out,out,out,hallB,other,hallB
479,out,out,out,out,out,out
480,out,out,out,hallA,other,hallA
481,out,out,out,hallD,exhibition,hallC
482,out,mainHall,out,out,out,out
483,out,mainHall,diningHall,hallB,recreationArea,hallA
484,out,out,out,hallA,other,hallA
485,out,out,out,hallB,recreationArea,hallA
486,out,out,out,out,out,out
487,out,out,out,out,out,out
488,out,mainHall,other,exhibition,exhibition,other
489,out,mainHall,diningHall,other,other,hallB
490,out,mainHall,diningHall,exhibition,exhibition,hallB
491,out,mainHall,out,out,out,out
492,out,mainHall,diningHall,exhibition,other,other
493,out,mainHall,diningHall,hallD,recreationArea,hallD
494,out,out,out,out,out,out
495,out,other,other,other,out,out
496,out,out,out,out,out,out
497,out,mainHall,other,exhibition,exhibition,other
498,out,exhibition,diningHall,hallC,other,other
499,out,mainHall,other,hallC,other,hallC
500,out,out,out,out,out,out
501,out,out,out,exhibition,recreationArea,other
502,out,mainHall,diningHall,hallB,other,hallC
503,out,mainHall,other,hallB,recreationArea,hallB
504,out,out,out,hallD,other,hallC
505,out,mainHall,diningHall,hallD,recreationArea,other
506,out,out,out,out,out,out
507,out,mainHall,diningHall,hallC,exhibition,other
508,out,mainHall,other,hallC,other,other
509,out,out,out,hallD,recreationArea,other
510,out,out,out,out,out,out
511,out,mainHall,out,out,out,out
512,out,other,out,out,out,out
513,out,mainHall,diningHall,hallA,other,other
514,out,out,out,hallC,recreationArea,other
515,out,mainHall,other,out,out,out
516,other,other,other,other,other,other
517,out,mainHall,other,hallB,other,other
518,out,out,out,exhibition,recreationArea,recreationArea
519,out,out,out,hallD,recreationArea,other
520,out,mainHall,other,out,out,out
521,out,mainHall,other,hallB,other,other
522,out,mainHall,diningHall,exhibition,recreationArea,recreationArea
523,out,mainHall,diningHall,hallB,recreationArea,hallB
524,out,out,out,out,out,out
525,out,mainHall,diningHall,hallB,other,other
526,other,other,other,other,other,other
527,out,mainHall,out,out,out,out
528,out,mainHall,other,hallD,hallD,hallA
529,out,mainHall,diningHall,out,out,out
530,out,mainHall,diningHall,hallB,other,other
531,out,mainHall,diningHall,exhibition,exhibition,other
532,out,other,other,other,other,other
533,out,mainHall,diningHall,hallB,other,hallA
534,out,mainHall,out,out,out,out
535,out,mainHall,diningHall,hallC,recreationArea,other
536,out,out,out,out,out,out
537,out,out,out,out,out,out
538,out,mainHall,out,out,out,out
539,out,mainHall,diningHall,other,recreationArea,hallA
540,out,mainHall,diningHall,hallB,other,hallC
541,out,mainHall,out,out,out,out
542,out,mainHall,diningHall,other,other,other
543,out,mainHall,other,hallB,recreationArea,hallB
544,out,mainHall,other,hallC,recreationArea,hallC
545,out,mainHall,other,out,out,out
546,out,mainHall,other,other,other,hallD
547,out,mainHall,diningHall,hallB,other,hallC
548,out,out,out,hallB,other,hallA
549,out,mainHall,other,other,other,hallD
550,out,out,out,out,out,out
551,out,mainHall,other,other,exhibition,other
552,out,mainHall,diningHall,out,out,out
553,out,out,out,out,out,out
554,out,mainHall,diningHall,hallC,other,hallC
555,out,out,out,out,out,out
556,out,mainHall,diningHall,hallB,recreationArea,other
557,out,out,out,hallA,exhibition,other
558,out,mainHall,other,hallB,recreationArea,other
559,out,mainHall,other,other,other,other
560,out,mainHall,out,out,out,out
561,out,out,out,out,out,out
562,out,mainHall,other,hallB,other,hallB
563,out,out,out,hallB,exhibition,hallA
564,out,out,out,out,out,out
565,other,other,other,other,other,other
566,out,mainHall,other,hallC,other,hallC
567,out,mainHall,out,out,out,out
568,out,mainHall,other,out,out,out
569,out,out,out,hallB,recreationArea,hallA
570,out,mainHall,out,out,out,out
571,out,out,out,other,other,hallA
572,out,mainHall,other,other,other,other
573,out,other,out,out,out,out
574,out,mainHall,other,hallC,recreationArea,other
575,out,out,out,out,out,out
576,out,mainHall,diningHall,other,recreationArea,other
577,out,out,out,out,out,out
578,out,mainHall,other,hallB,recreationArea,other
579,out,mainHall,diningHall,hallB,other,hallB
580,out,out,out,hallC,other,other
581,out,mainHall,out,out,out,out
582,out,mainHall,diningHall,other,other,hallC
583,out,mainHall,diningHall,hallC,other,hallC
584,out,out,out,out,out,out
585,out,other,other,other,out,out
586,out,mainHall,diningHall,hallB,exhibition,hallA
587,out,mainHall,out,out,out,out
588,out,out,out,hallB,other,hallA
589,out,out,out,hallC,other,hallC
590,out,mainHall,diningHall,other,other,hallC
591,out,out,out,hallB,recreationArea,other
592,out,mainHall,diningHall,hallC,recreationArea,hallC
593,out,other,out,out,out,out
594,out,out,out,hallB,other,hallB
595,out,mainHall,diningHall,hallB,other,hallA
596,out,mainHall,diningHall,hallB,recreationArea,hallC
597,out,mainHall,other,hallA,other,other
598,out,mainHall,diningHall,hallA,exhibition,other
599,out,out,out,out,out,out
600,out,mainHall,out,out,out,out
601,out,out,out,out,out,out
602,out,mainHall,other,recreationArea,exhibition,hallB
603,out,mainHall,other,hallB,other,hallA
604,out,out,out,hallD,other,other
605,out,exhibition,exhibition,hallB,other,hallB
606,out,mainHall,out,out,out,out
607,out,mainHall,out,out,out,out
608,out,out,out,hallA,exhibition,other
609,out,out,out,out,out,out
610,out,mainHall,other,out,out,out
611,out,out,out,out,out,out
612,out,mainHall,out,out,out,out
613,out,out,other,hallD,recreationArea,hallD
614,out,mainHall,diningHall,other,other,other
615,out,mainHall,diningHall,out,out,out
616,out,mainHall,out,out,out,out
617,out,mainHall,diningHall,other,exhibition,hallB
618,out,out,out,out,out,out
619,out,mainHall,diningHall,hallB,recreationArea,other
620,out,mainHall,diningHall,out,out,out
621,out,mainHall,diningHall,out,out,out
622,out,mainHall,other,hallD,other,other
623,out,out,out,hallC,other,other
624,out,out,other,hallC,hallC,hallC
625,out,mainHall,other,out,out,out
626,out,out,out,out,out,out
627,out,out,out,hallB,other,hallA
628,out,out,other,out,out,out
629,out,mainHall,other,hallC,recreationArea,other
630,out,out,out,hallB,recreationArea,hallC
631,out,out,out,out,out,out
632,out,out,out,hallB,recreationArea,hallA
633,out,out,out,out,out,out
634,out,out,out,hallB,other,hallA
635,out,out,out,out,out,out
636,out,mainHall,other,out,out,out
637,out,mainHall,diningHall,other,recreationArea,other
638,out,out,out,out,out,out
639,out,mainHall,other,hallC,recreationArea,other
640,out,mainHall,out,out,out,out
641,out,out,other,out,out,out
642,out,mainHall,diningHall,hallD,recreationArea,hallC
643,out,out,out,out,out,out
644,out,mainHall,other,other,other,other
645,out,mainHall,diningHall,hallB,exhibition,hallB
646,out,mainHall,other,out,out,out
647,out,out,out,out,out,out
648,out,exhibition,out,out,out,out
649,out,exhibition,out,out,out,out
650,out,mainHall,diningHall,hallC,recreationArea,hallC
651,out,mainHall,out,out,out,out
652,out,out,out,out,out,out
653,out,mainHall,diningHall,other,other,hallB
654,out,mainHall,recreationArea,hallB,other,hallB
655,out,mainHall,out,out,out,out
656,other,other,other,other,other,other
657,out,mainHall,other,other,other,other
658,out,out,out,hallD,other,other
659,out,out,out,hallC,exhibition,recreationArea
660,out,other,out,out,out,out
661,out,mainHall,diningHall,hallD,exhibition,hallC
662,out,mainHall,diningHall,exhibition,other,other
663,out,out,out,hallB,hallA,hallA
664,out,out,out,hallD,exhibition,hallD
665,out,out,out,other,out,out
666,out,mainHall,diningHall,hallB,recreationArea,other
667,out,mainHall,recreationArea,exhibition,recreationArea,hallA
668,out,out,out,hallD,other,hallD
669,out,mainHall,diningHall,out,out,out
670,out,mainHall,out,out,out,out
671,out,out,out,out,out,out
672,out,out,other,hallA,hallA,hallA
673,out,mainHall,other,other,recreationArea,hallC
674,out,out,out,out,out,out
675,out,mainHall,other,hallA,hallA,other
676,out,out,out,other,other,hallA
677,out,mainHall,diningHall,hallB,other,hallA
678,out,mainHall,out,out,out,out
679,out,mainHall,other,hallB,other,hallA
680,out,mainHall,diningHall,out,out,out
681,out,mainHall,out,out,out,out
682,out,mainHall,recreationArea,hallA,other,hallA
683,out,mainHall,diningHall,exhibition,other,recreationArea
684,out,out,out,hallC,recreationArea,hallC
685,out,out,out,out,out,out
686,other,other,other,other,other,other
687,out,mainHall,diningHall,hallB,recreationArea,hallB
688,out,mainHall,other,hallB,other,hallB
689,out,mainHall,diningHall,out,out,out
690,out,mainHall,other,hallB,other,hallC
691,out,mainHall,other,hallB,other,hallB
692,out,exhibition,out,out,out,out
693,out,other,other,other,other,other
694,out,mainHall,other,other,other,other
695,out,out,out,other,exhibition,hallD
696,out,mainHall,recreationArea,hallB,other,hallA
697,out,out,out,out,out,out
698,out,mainHall,other,hallD,other,other
699,out,mainHall,out,out,out,out
700,out,mainHall,other,hallC,recreationArea,hallC
701,out,out,out,other,other,other
702,out,out,out,hallD,exhibition,other
703,out,mainHall,other,exhibition,other,hallB
704,out,mainHall,other,other,recreationArea,other
705,out,mainHall,diningHall,out,out,out
706,out,mainHall,other,hallB,other,other
707,out,mainHall,out,out,out,out
708,out,mainHall,diningHall,hallC,other,other
709,out,mainHall,other,other,other,other
710,out,other,other,other,out,out
711,out,mainHall,other,hallB,other,hallA
712,out,mainHall,other,other,exhibition,recreationArea
713,out,mainHall,diningHall,other,other,other
714,out,out,out,out,out,out
715,out,out,out,hallA,other,hallA
716,out,other,other,other,other,other
717,out,mainHall,diningHall,other,other,other
718,out,out,out,exhibition,recreationArea,other
719,out,other,other,other,other,other
720,out,mainHall,out,out,out,out
721,out,other,other,hallB,recreationArea,hallB
722,out,mainHall,diningHall,hallB,other,hallC
723,out,mainHall,other,other,exhibition,other
724,out,out,out,hallC,recreationArea,other
725,out,mainHall,diningHall,exhibition,other,hallB
