,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4,No Register,day
29,10022,75.009009009009,34580,42906,exhibition,48,0,0,9,0,0,3
30,10023,137.77777777777777,50470,62870,hallC,109,0,0,9,0,0,1
31,10023,92.45945945945944,46810,50231,exhibition,50,0,0,4,0,0,2
32,10026,67.19718309859155,30910,45223,mainHall,175,0,0,11,0,0,1
33,10026,145.1290322580645,31350,44847,mainHall,187,0,0,7,0,0,2
34,10026,64.52564102564102,31500,41566,mainHall,83,0,0,11,0,0,3
35,10027,80.32954545454545,30730,44868,mainHall,168,0,0,11,0,0,1
36,10027,95.94321766561514,32250,62664,mainHall,162,0,0,15,0,0,2
37,10027,66.2215909090909,31640,43295,mainHall,110,0,0,9,0,0,3
38,10032,138.84158415841586,48580,62603,hallD,106,0,0,8,0,0,2
39,10032,126.19354838709677,33200,41024,other,125,0,0,7,0,0,3
40,10033,185.3111111111111,32750,41089,hallC,109,0,0,6,0,0,3
41,10037,226.7,32500,55170,other,186,1,0,8,0,0,1
42,10037,228.4056603773585,30940,55151,room5,339,1,0,9,0,0,2
43,10037,210.80851063829783,31780,41688,other,163,1,0,6,0,0,3
44,10041,280.51,32030,60081,room5,412,1,0,10,0,0,1
45,10041,233.5546875,31180,61075,room5,424,1,0,9,0,0,2
46,10041,198.23809523809524,32700,41026,room5,128,1,0,5,0,0,3
47,10043,37.692307692307686,46510,47980,other,14,0,0,5,0,0,2
48,10045,78.15476190476191,31420,44550,mainHall,182,0,0,8,0,0,1
49,10045,103.1851851851852,32000,62646,mainHall,173,0,0,14,0,0,2
50,10045,77.6825396825397,31840,41628,mainHall,101,0,0,7,0,0,3
51,10046,189.7417218543046,31010,59661,room5,301,1,0,11,0,0,1
52,10046,260.32758620689657,32310,62508,room5,172,1,0,11,0,0,2
53,10046,228.8636363636364,30980,41050,other,165,1,0,5,0,0,3
54,10049,73.82442748091603,35030,44701,mainHall,117,0,0,8,0,0,1
55,10049,88.24089635854341,31580,63082,other,177,0,0,16,0,0,2
56,10050,48.657894736842096,45720,47569,other,16,0,0,5,0,0,2
57,10051,57.360594795539036,29750,45180,mainHall,174,0,0,11,0,0,1
58,10051,107.4290780141844,32310,62605,mainHall,172,0,0,15,0,0,2
59,10051,80.4662162162162,31160,43069,mainHall,109,0,0,9,0,0,3
60,10053,115.34523809523807,34890,44579,mainHall,125,0,0,5,0,0,1
61,10053,96.97697368421049,32450,61931,other,167,0,0,12,0,0,2
62,10053,93.54237288135592,30610,41648,mainHall,89,0,0,9,0,0,3
63,10056,86.27096774193548,31100,44472,mainHall,162,0,0,8,0,0,1
64,10056,103.61872909698995,32210,63192,mainHall,169,0,0,13,0,0,2
65,10056,88.99230769230768,31480,43049,mainHall,137,0,0,6,0,0,3
66,10058,94.73607038123168,30690,62995,mainHall,198,0,0,14,0,0,1
67,10058,93.44444444444444,31890,62166,mainHall,145,0,0,13,0,0,2
68,10058,80.95522388059702,32260,43108,mainHall,93,0,0,9,0,0,3
69,10060,89.94230769230771,45390,50067,exhibition,65,0,0,6,0,0,2
70,10062,132.57731958762886,49880,62740,hallB,104,0,0,10,0,0,1
71,10068,84.97674418604652,46520,50174,exhibition,31,0,0,5,0,0,2
72,10070,33.12931034482759,35610,39453,other,42,0,0,7,0,0,1
73,10077,115.05633802816901,28780,45118,mainHall,198,0,0,8,0,0,1
74,10077,86.59281437125748,32660,47121,mainHall,150,0,0,10,0,0,2
75,10077,69.00552486187846,30830,43320,mainHall,86,0,0,10,0,0,3
76,10078,100.66666666666669,49550,63140,hallB,159,0,0,10,0,0,1
77,10080,129.48958333333334,50370,62801,other,149,0,0,7,0,0,1
78,10080,60.36666666666667,46750,50372,exhibition,50,0,0,5,0,0,2
79,10080,71.73214285714286,32390,40424,other,114,0,0,8,0,0,3
80,10081,97.3153153153153,30780,63186,mainHall,161,0,0,16,0,0,2
81,10082,85.71084337349397,30190,44418,mainHall,194,0,0,9,0,0,1
82,10082,88.65988372093024,31600,62099,mainHall,163,0,0,15,0,0,2
83,10083,105.77037037037034,33570,62128,mainHall,135,0,0,14,0,0,1
84,10083,74.73953488372094,30740,62878,mainHall,161,0,0,15,0,0,2
85,10084,53.57835820895522,30140,44499,mainHall,170,0,0,13,0,0,1
86,10084,115.7148288973384,32420,62853,mainHall,172,0,0,13,0,0,2
87,10084,51.511312217194565,31870,43254,mainHall,91,0,0,12,0,0,3
88,10085,93.35562310030392,31710,62424,mainHall,168,0,0,13,0,0,1
89,10085,91.30994152046783,31310,62538,mainHall,170,0,0,13,0,0,2
90,10085,43.01,31460,35761,other,34,0,0,7,0,0,3
91,10087,38.41538461538462,34830,39824,other,32,0,0,8,0,0,1
92,10088,85.26315789473685,46900,50140,exhibition,45,0,0,4,0,0,2
93,10088,142.4259259259259,33380,41071,other,123,0,0,7,0,0,3
94,10089,118.85046728971965,49140,61857,hallB,92,0,0,9,0,0,2
95,10090,167.0887573964497,32480,60718,room5,401,1,0,11,0,0,1
96,10090,230.04545454545453,31140,61506,other,270,1,0,11,0,0,2
97,10090,185.65384615384616,31610,41264,other,159,1,0,7,0,0,3
98,10091,151.25,49870,61970,other,104,0,0,9,0,0,1
99,10091,84.87692307692308,34150,39667,hallB,73,0,0,7,0,0,3
100,10092,164.1315789473684,50600,63074,hallA,172,0,0,6,0,0,1
101,10092,109.07594936708858,45440,62674,other,101,0,0,9,0,0,2
102,10093,117.27083333333331,46370,63257,hallD,115,0,0,10,0,0,2
103,10093,94.86363636363636,32450,40798,hallC,99,0,0,8,0,0,3
104,10094,95.78881987577641,29710,45132,mainHall,193,0,0,10,0,0,1
105,10094,92.14285714285714,31950,62910,other,174,0,0,15,0,0,2
106,10095,27.92696629213483,34550,39521,other,52,0,0,9,0,0,2
107,10097,43.07594936708861,35890,39293,other,30,0,0,6,0,0,1
108,10098,99.28776978417268,48970,62771,hallA,108,0,0,7,0,0,1
109,10098,85.34814814814816,50380,61902,other,82,0,0,9,0,0,2
110,10101,65.29441624365482,31760,44623,mainHall,158,0,0,10,0,0,1
111,10101,141.96035242290748,30780,63005,mainHall,165,0,0,15,0,0,2
112,10101,89.16964285714286,32130,42117,mainHall,125,0,0,6,0,0,3
113,10107,96.71176470588236,29290,62172,mainHall,201,0,0,14,0,0,1
114,10107,90.50867052023123,31300,62616,mainHall,172,0,0,15,0,0,2
115,10108,107.4867256637168,49910,62056,hallB,84,0,0,9,0,0,2
116,10109,132.77037037037036,45170,63094,other,208,0,0,11,0,0,2
117,10109,146.29166666666666,33750,40772,hallB,82,0,0,6,0,0,3
118,10111,98.66139240506331,30840,62017,mainHall,200,0,0,12,0,1,1
119,10111,116.65016501650163,32390,67735,mainHall,171,0,0,13,0,1,2
120,10111,61.20588235294117,40770,42851,other,30,0,0,5,0,1,3
121,10112,79.18518518518519,45700,49976,exhibition,47,0,0,5,0,0,2
122,10112,103.96153846153848,32730,40839,other,122,0,0,7,0,0,3
123,10115,136.64830508474577,30410,62659,mainHall,206,0,0,14,0,0,1
124,10115,72.35227272727273,31510,44244,mainHall,163,0,0,11,0,0,2
125,10115,51.07079646017699,31420,42962,mainHall,128,0,0,12,0,0,3
126,10117,124.38257575757576,30050,62887,other,227,0,0,14,0,0,1
127,10117,105.472131147541,30840,63009,mainHall,165,0,0,13,0,0,2
128,10117,62.17880794701986,32630,42019,mainHall,112,0,0,9,0,0,3
129,10118,86.81395348837209,36070,39803,exhibition,50,0,0,4,0,0,2
130,10121,155.7483870967742,31090,55231,other,349,1,0,11,0,0,1
131,10121,118.12562814070351,32130,55637,other,213,1,0,11,0,0,2
132,10121,144.33333333333334,31870,41396,room5,143,1,0,6,0,0,3
133,10123,93.6887417218543,30390,44537,mainHall,197,0,0,8,0,0,1
134,10123,109.34385964912279,30960,62123,other,186,0,0,13,0,0,2
135,10123,53.50520833333334,30930,41203,mainHall,74,0,0,11,0,0,3
136,10126,31.51234567901234,52580,57685,exhibition,43,0,0,8,0,0,1
137,10127,96.51176470588236,30170,62984,mainHall,215,0,0,15,0,0,1
138,10127,74.0469798657718,30770,41803,mainHall,117,0,0,7,0,0,2
139,10127,60.88333333333333,32150,43109,mainHall,136,0,0,9,0,0,3
140,10134,80.60215053763442,29110,44102,mainHall,180,0,0,12,0,0,1
141,10134,100.51935483870967,31780,62941,mainHall,171,0,0,14,0,0,2
142,10134,96.3913043478261,32210,43295,mainHall,150,0,0,7,0,0,3
143,10135,79.58895705521472,50130,63103,hallA,158,0,0,10,0,0,1
144,10135,80.5925925925926,45960,50312,exhibition,54,0,0,5,0,0,2
145,10135,111.55172413793105,34030,37265,hallC,47,0,0,4,0,0,3
146,10136,96.44314868804665,29320,62400,mainHall,208,0,0,13,0,0,1
147,10136,110.41868512110727,30960,62871,mainHall,177,0,0,14,0,0,2
148,10136,75.47133757961784,30960,42809,mainHall,93,0,0,9,0,0,3
149,10137,94.32051282051279,32620,62048,other,175,0,0,13,0,0,2
150,10137,92.68333333333334,30610,41732,mainHall,86,0,0,9,0,0,3
151,10141,121.29761904761904,32490,63057,other,179,0,0,14,0,0,2
152,10142,97.44186046511628,45930,62690,hallD,146,0,0,10,0,0,2
153,10142,149.58823529411762,34120,41749,hallB,99,0,0,6,0,0,3
154,10143,89.84117647058822,29370,44643,mainHall,194,0,0,10,0,0,1
155,10143,97.46178343949043,32210,62813,mainHall,170,0,0,14,0,0,2
156,10143,85.02127659574468,35240,43232,mainHall,92,0,0,7,0,0,3
157,10145,111.58585858585859,29900,63041,mainHall,205,0,0,15,0,0,1
158,10145,65.36363636363636,40380,43975,mainHall,32,0,0,5,0,0,2
159,10145,46.58695652173913,38510,42796,mainHall,34,0,0,7,0,0,3
160,10146,119.7910447761194,34790,42816,other,49,0,0,6,0,0,1
161,10146,107.5457746478873,31440,61983,mainHall,179,0,0,16,0,0,2
162,10146,78.89285714285714,30880,41925,mainHall,94,0,0,8,0,0,3
163,10147,123.34220532319391,30700,63139,mainHall,178,0,0,15,0,0,2
164,10148,31.768292682926827,52270,57480,other,51,0,0,7,0,0,1
165,10150,126.0597609561753,30580,62221,mainHall,198,0,0,13,0,0,1
166,10150,116.70220588235294,30990,62733,other,212,0,0,15,0,0,2
167,10150,56.6421052631579,32420,43182,mainHall,127,0,0,10,0,0,3
168,10151,58.2,35380,44692,mainHall,116,0,0,8,0,0,1
169,10151,128.0860655737705,31470,62723,mainHall,174,0,0,14,0,0,2
170,10151,85.5072463768116,32080,37980,mainHall,82,0,0,4,0,0,3
171,10152,85.06622516556291,29900,42745,mainHall,97,0,0,9,0,0,1
172,10152,118.0197628458498,32560,62419,other,245,0,0,15,0,0,2
173,10152,102.57142857142857,32270,41604,mainHall,83,0,0,6,0,0,3
174,10155,83.46938775510205,40550,44640,exhibition,51,0,0,5,0,0,2
175,10155,130.56140350877192,34050,41492,hallB,63,0,0,8,0,0,3
176,10157,86.10493827160494,48730,62679,hallB,118,0,0,12,0,0,2
177,10157,99.1375,33360,41291,hallB,93,0,0,8,0,0,3
178,10160,108.5068493150685,29350,45192,mainHall,194,0,0,9,0,0,1
179,10160,85.54166666666667,31910,46281,mainHall,158,0,0,10,0,0,2
180,10161,130.8877551020408,49860,62687,hallC,95,0,0,10,0,0,2
181,10162,83.25436408977556,29710,63095,mainHall,210,0,0,13,0,0,1
182,10162,64.74528301886792,31020,44746,mainHall,147,0,0,13,0,0,2
183,10162,52.80568720379146,31940,43082,mainHall,86,0,0,12,0,0,3
184,10163,121.11068702290078,30440,62171,mainHall,203,0,0,15,0,0,1
185,10163,87.62179487179488,30960,44629,mainHall,159,0,0,11,0,0,2
186,10163,57.58823529411765,31430,43178,mainHall,89,0,0,11,0,0,3
187,10164,357.97115384615387,25860,63089,register,553,0,1,6,0,0,1
188,10164,323.77064220183485,27900,63191,register,522,0,1,6,0,0,2
189,10164,177.07291666666663,28060,45059,register,224,0,1,6,0,0,3
190,10167,123.73880597014929,28800,61962,mainHall,202,0,0,14,0,0,1
191,10167,81.23433242506812,32130,61943,mainHall,118,0,0,13,0,0,2
192,10170,73.48905109489051,34920,44988,mainHall,120,0,0,9,0,0,1
193,10170,118.198347107438,32500,46802,mainHall,177,0,0,9,0,0,2
194,10170,74.5,32620,41560,mainHall,80,0,0,9,0,0,3
195,10171,103.375,32670,40940,hallB,103,0,0,8,0,0,3
196,10172,88.8764705882353,29600,44709,mainHall,198,0,0,10,0,0,1
197,10172,96.69811320754715,31270,62020,mainHall,170,0,0,15,0,0,2
198,10172,103.92307692307692,30610,42769,exhibition,115,0,0,8,0,0,3
199,10173,126.11607142857143,48810,62935,hallD,181,0,0,9,0,0,2
200,10174,128.19417475728156,49790,62994,other,122,0,0,8,0,0,2
201,10174,150.06,34060,41563,hallB,94,0,0,6,0,0,3
202,10175,81.61627906976744,32640,39659,hallC,81,0,0,8,0,0,3
203,10178,91.0945945945946,29720,43202,mainHall,175,0,0,10,0,0,1
204,10178,90.52727272727272,33330,63204,mainHall,153,0,0,14,0,0,2
205,10178,68.3859649122807,31260,42954,mainHall,109,0,0,10,0,0,3
206,10181,101.34126984126983,31870,44639,mainHall,177,0,0,7,0,1,1
207,10181,145.41700404858298,31960,67878,room2,172,0,0,12,0,1,2
208,10181,112.01075268817205,31190,41607,mainHall,88,0,0,8,0,1,3
209,10182,129.50396825396822,30060,62695,mainHall,214,0,0,14,0,0,1
210,10182,56.11594202898551,31550,43166,mainHall,86,0,0,12,0,0,3
211,10183,92.50420168067228,40580,62596,other,121,0,0,14,0,0,2
212,10185,75.31764705882352,38700,45102,mainHall,51,0,0,6,0,0,1
213,10185,102.20065789473685,32010,63079,mainHall,164,0,0,12,0,0,2
214,10186,111.93548387096772,45660,63010,hallB,119,0,0,10,0,0,2
215,10188,109.80769230769228,45840,62970,other,164,0,0,9,0,0,2
216,10190,55.01052631578948,45180,50406,exhibition,56,0,0,6,0,0,2
217,10192,92.26363636363637,32180,62627,mainHall,162,0,0,14,0,0,1
218,10192,83.77777777777777,32560,62720,other,136,0,0,12,0,0,2
219,10192,71.48717948717949,40020,42808,other,38,0,0,4,0,0,3
220,10193,84.29919137466307,31740,63015,mainHall,164,0,0,15,0,0,2
221,10193,89.35353535353535,31620,40466,hallB,63,0,0,7,0,0,3
222,10194,75.5745856353591,31320,44999,mainHall,170,0,0,10,0,0,1
223,10194,108.90526315789472,31510,62548,mainHall,172,0,0,12,0,0,2
224,10194,74.28169014084506,30830,41378,mainHall,86,0,0,10,0,0,3
225,10196,232.6172839506173,25430,63114,register,546,0,1,7,0,0,1
226,10196,210.37724550898204,27430,62563,other,416,0,1,8,0,0,2
227,10196,175.8762886597939,28010,45070,register,230,0,1,6,0,0,3
228,10201,67.4186046511628,30650,45145,mainHall,112,0,0,11,0,0,1
229,10202,136.61458333333334,49710,62825,hallB,114,0,0,9,0,0,1
230,10202,70.19642857142857,33960,41822,hallA,96,0,0,7,0,0,3
231,10204,97.45214521452145,32420,61948,mainHall,163,0,0,15,0,0,1
232,10204,70.00740740740741,32320,41771,mainHall,117,0,0,7,0,0,2
233,10205,88.14285714285714,31280,62130,mainHall,179,0,0,15,0,0,1
234,10205,115.98872180451129,31700,62553,mainHall,166,0,0,14,0,0,2
235,10205,99.51851851851852,30950,41698,mainHall,91,0,0,8,0,0,3
236,10206,100.74626865671642,29110,62860,mainHall,185,0,0,15,0,0,1
237,10206,78.31944444444444,32150,37789,other,48,0,0,6,0,0,2
238,10214,101.3191489361702,29870,63204,mainHall,219,0,0,12,1,0,1
239,10214,97.0,30690,65998,room4,220,0,0,12,1,0,2
240,10214,84.54347826086956,31380,43047,mainHall,138,0,0,5,1,0,3
241,10215,111.89338235294115,31490,61925,mainHall,176,0,0,14,0,0,2
242,10215,85.63414634146342,31620,42153,mainHall,90,0,0,9,0,0,3
243,10216,128.90990990990989,30500,44809,mainHall,198,0,0,6,0,0,1
244,10216,87.35802469135803,32490,46642,mainHall,168,0,0,9,0,0,2
245,10217,77.61538461538461,45960,49996,exhibition,40,0,0,5,0,0,2
246,10218,126.6422018348624,34400,62008,recreationArea,151,0,0,14,0,0,2
247,10218,92.64516129032258,30870,42358,mainHall,94,0,0,8,0,0,3
248,10221,83.34883720930233,37320,44488,mainHall,72,0,0,8,0,0,1
249,10221,103.87296416938108,30620,62509,other,119,0,0,16,0,0,2
250,10225,77.35433070866142,35040,44864,mainHall,111,0,0,9,0,0,1
251,10225,70.77325581395348,32160,44333,mainHall,144,0,0,9,0,0,2
252,10225,59.03773584905661,31400,37658,other,61,0,0,8,0,0,3
253,10228,103.31851851851853,48880,62828,hallD,162,0,0,9,0,0,2
254,10228,142.28,33370,40484,hallB,88,0,0,6,0,0,3
255,10231,103.29617834394905,29750,62185,mainHall,197,0,0,16,0,0,1
256,10231,87.57183098591551,31970,63058,mainHall,152,0,0,15,0,0,2
257,10231,61.89156626506024,31780,42054,mainHall,79,0,0,11,0,0,3
258,10232,163.47398843930637,31520,59801,room5,414,1,0,11,0,0,1
259,10232,272.62857142857143,32470,61096,other,449,1,0,8,0,0,2
260,10232,196.25531914893617,32450,41674,other,151,1,0,6,0,0,3
261,10233,111.6543624161074,29530,62803,mainHall,201,0,0,15,0,0,1
262,10233,93.1818181818182,32500,41725,mainHall,115,0,0,7,0,0,2
263,10233,59.422222222222224,40150,42824,other,42,0,0,5,0,0,3
264,10235,105.46825396825396,49440,62729,hallD,163,0,0,9,0,0,1
265,10235,124.22916666666669,34200,40163,hallB,77,0,0,6,0,0,3
266,10236,146.15555555555557,49870,63024,hallC,109,0,0,8,0,0,2
267,10239,123.28125,33470,41360,hallB,87,0,0,7,0,0,3
268,10240,70.421875,31100,44621,mainHall,169,0,0,10,0,0,1
269,10240,98.57006369426752,31030,61981,mainHall,169,0,0,15,0,0,2
270,10243,138.23529411764707,30120,44220,mainHall,206,0,0,6,0,1,1
271,10243,121.3095238095238,31390,61960,room2,175,0,0,12,0,1,2
272,10245,95.4233128834356,30920,62028,other,176,0,0,11,0,1,1
273,10245,106.73088685015293,31760,66661,mainHall,169,0,0,11,0,1,2
274,10246,78.50505050505049,38550,61866,other,86,0,0,14,0,0,1
275,10246,69.31147540983606,31050,35278,mainHall,43,0,0,7,0,0,2
276,10248,45.28888888888889,30400,32438,mainHall,19,0,0,5,0,0,1
277,10249,76.84352078239608,30650,62079,exhibition,131,0,0,16,0,0,1
278,10249,72.24413145539907,46440,61828,exhibition,89,0,0,12,0,0,2
279,10252,107.63573883161513,30850,62172,mainHall,200,0,0,14,0,0,1
280,10252,103.86759581881529,32360,62170,other,185,0,0,14,0,0,2
281,10252,48.55241935483871,31300,43341,mainHall,98,0,0,12,0,0,3
282,10255,31.19230769230769,52670,57536,other,48,0,0,8,0,0,1
283,10256,111.11965811965813,32060,45061,mainHall,175,0,0,8,0,0,1
284,10256,118.67241379310344,31050,44816,mainHall,173,0,0,8,0,0,2
285,10256,78.1111111111111,31850,42395,mainHall,103,0,0,9,0,0,3
286,10258,180.95,34040,41278,hallA,109,0,0,4,0,0,3
287,10261,79.56,46120,62032,hallB,70,0,0,13,0,0,2
288,10262,108.53424657534245,33480,41403,hallA,92,0,0,6,0,0,3
289,10264,116.91851851851852,28990,44774,mainHall,203,0,0,8,0,0,1
290,10264,95.94362017804156,30900,63233,other,190,0,0,14,0,0,2
291,10264,55.420118343195256,31780,41146,mainHall,61,0,0,12,0,0,3
292,10265,85.24137931034483,30010,62146,mainHall,202,0,0,15,0,0,1
293,10265,121.1171875,32150,63156,mainHall,146,0,0,13,0,0,2
294,10265,72.25625,31750,43311,mainHall,96,0,0,10,0,0,3
295,10266,101.91776315789473,31910,62893,other,166,0,0,14,0,0,2
296,10266,82.64227642276424,31880,42045,mainHall,91,0,0,7,0,0,3
297,10271,104.07570977917982,29750,62742,mainHall,203,0,0,15,0,0,1
298,10271,76.95696202531646,32670,63068,mainHall,160,0,0,15,0,0,2
299,10272,100.58176100628931,30530,62515,mainHall,190,0,0,15,0,0,1
300,10272,73.24528301886792,31610,62666,mainHall,165,0,0,16,0,0,2
301,10275,138.6060606060606,49440,63162,hallD,182,0,0,7,0,0,1
302,10275,55.253731343283576,46490,50192,exhibition,24,0,0,6,0,0,2
303,10279,124.71428571428572,49900,62995,hallB,121,0,0,9,0,0,2
304,10280,113.52985074626864,32150,62576,mainHall,174,0,0,15,0,0,1
305,10280,95.64831804281346,31400,62677,other,178,0,0,13,0,0,2
306,10280,78.73154362416108,31490,43221,mainHall,106,0,0,8,0,0,3
307,10281,117.54285714285713,49580,61922,hallD,94,0,0,11,0,0,1
308,10281,129.58620689655172,33740,41256,hallC,83,0,0,7,0,0,3
309,10282,67.79620853080569,30080,44385,mainHall,172,0,0,10,0,1,1
310,10282,139.34649122807016,31030,62801,mainHall,175,0,0,11,0,1,2
311,10282,82.85906040268456,30770,43116,mainHall,115,0,0,10,0,1,3
312,10284,269.62264150943395,31390,59970,room5,417,1,0,11,0,0,1
313,10284,197.36241610738256,32210,61617,room5,423,1,0,10,0,0,2
314,10287,144.78,33850,41089,other,109,0,0,7,0,0,3
315,10289,87.80167597765362,31870,63303,mainHall,167,0,0,15,0,0,2
316,10290,139.63114754098362,45490,62525,hallD,160,0,0,10,0,0,2
317,10291,85.40983606557377,62360,67570,diningHall,70,0,0,6,0,0,2
318,10292,95.51875,29830,45113,mainHall,206,0,0,9,0,0,1
319,10292,139.72052401746728,30970,62966,mainHall,177,0,0,15,0,0,2
320,10292,52.26724137931034,31400,43526,mainHall,98,0,0,7,0,0,3
321,10293,60.47435897435897,30140,44291,mainHall,132,0,0,12,0,0,1
322,10293,113.98220640569392,30960,62989,mainHall,176,0,0,14,0,0,2
323,10293,81.88311688311687,30760,43370,mainHall,109,0,0,9,0,0,3
324,10295,108.27702702702706,28870,44895,mainHall,174,0,0,8,0,0,1
325,10295,117.0,32670,62856,mainHall,161,0,0,12,0,0,2
326,10295,69.52906976744185,30970,42929,mainHall,111,0,0,9,0,0,3
327,10296,136.8590909090909,32490,62599,mainHall,174,0,0,13,0,0,2
328,10297,40.42982456140351,53300,57909,exhibition,46,0,0,6,0,0,1
329,10298,76.72727272727273,32530,45190,mainHall,154,0,0,9,0,0,1
330,10298,109.7438596491228,31530,62807,mainHall,162,0,0,16,0,0,2
331,10300,144.5,49270,63142,hallD,196,0,0,9,0,0,1
332,10301,91.54545454545456,46890,49911,exhibition,39,0,0,6,0,0,2
333,10305,77.68085106382979,46450,50101,exhibition,38,0,0,5,0,0,2
334,10309,263.5487804878049,41610,63221,hallB,222,0,1,8,0,0,1
335,10309,273.03846153846155,41630,62927,hallB,214,0,1,8,0,0,2
336,10309,109.85576923076924,32080,43505,hallB,127,0,1,8,0,0,3
337,10310,87.51298701298703,49360,62837,other,87,0,0,11,0,0,1
338,10310,111.70833333333331,33610,41653,other,116,0,0,9,0,0,3
339,10311,89.70454545454545,38210,61892,exhibition,88,0,0,14,0,0,2
340,10311,78.87640449438203,31200,38220,hallB,51,0,0,7,0,0,3
341,10314,38.55813953488372,34760,39734,other,49,0,0,7,0,0,2
342,10316,81.33928571428571,46040,50595,exhibition,58,0,0,5,0,0,2
343,10316,101.61904761904762,34420,40822,hallC,93,0,0,7,0,0,3
344,10317,122.11610486891384,29520,62125,mainHall,213,0,0,15,0,0,1
345,10317,129.3684210526316,32520,62016,exhibition,188,0,0,14,0,0,2
346,10319,74.82045454545455,29800,62721,mainHall,196,0,0,15,0,0,1
347,10319,94.15522388059702,31340,62882,mainHall,158,0,0,17,0,0,2
348,10319,41.21917808219178,40210,43219,mainHall,35,0,0,5,0,0,3
349,10320,98.84177215189872,32060,63294,mainHall,155,0,0,12,0,0,2
350,10320,77.47482014388491,31020,41789,mainHall,88,0,0,8,0,0,3
351,10321,99.2087542087542,32500,61965,mainHall,165,0,0,15,0,0,2
352,10321,86.712,31400,42239,mainHall,91,0,0,8,0,0,3
353,10322,40.91139240506329,54030,57262,other,30,0,0,6,0,0,2
354,10324,104.07443365695791,30650,62809,mainHall,190,0,0,13,0,0,1
355,10324,103.20512820512822,32560,44635,mainHall,156,0,0,6,0,0,2
356,10325,114.52727272727272,31640,44238,mainHall,166,0,0,7,0,0,1
357,10325,118.17692307692309,32280,63006,mainHall,168,0,0,13,0,0,2
358,10325,35.52032520325203,38770,43139,mainHall,44,0,0,7,0,0,3
359,10326,108.84033613445378,49950,62902,other,190,0,0,8,0,0,1
360,10326,142.65882352941176,50610,62736,hallB,88,0,0,9,0,0,2
361,10329,93.8391812865497,30380,62473,mainHall,198,0,0,15,0,0,1
362,10329,98.88709677419355,32220,44482,mainHall,163,0,0,8,0,0,2
363,10331,46.04081632653061,30670,35182,other,42,0,0,6,0,0,1
364,10331,78.00497512437809,31370,62728,mainHall,156,0,0,13,0,0,2
365,10331,81.60544217687075,30910,42906,mainHall,88,0,0,10,0,0,3
366,10334,102.78571428571428,29600,62697,mainHall,207,0,0,14,0,0,1
367,10334,73.47852760736197,32440,44417,mainHall,148,0,0,7,0,0,2
368,10334,55.44554455445545,32130,43330,mainHall,86,0,0,11,0,0,3
369,10335,92.95121951219512,32750,40372,hallB,93,0,0,8,0,0,3
370,10336,45.4888888888889,36070,40164,exhibition,52,0,0,6,0,0,2
371,10339,63.88235294117647,45040,49384,exhibition,56,0,0,6,0,0,2
372,10339,72.9915254237288,32820,41433,hallC,108,0,0,8,0,0,3
373,10341,56.9,46070,50622,exhibition,37,0,0,7,0,0,2
374,10345,51.07692307692307,39970,43954,other,36,0,1,5,0,0,1
375,10345,347.21428571428567,28840,62867,register,525,0,1,5,0,0,2
