,A,B,C,D
80,out,hallA,hallA,out
81,out,hallA,hallA,out
82,mainHall,mainHall,other,out
83,mainHall,other,mainHall,out
84,mainHall,mainHall,other,out
85,mainHall,other,mainHall,out
86,out,hallC,hallA,out
87,mainHall,mainHall,other,out
88,out,other,other,out
89,mainHall,hallB,mainHall,out
90,mainHall,mainHall,other,out
91,mainHall,mainHall,hallA,out
92,other,hallB,hallB,out
93,out,other,other,out
94,mainHall,hallB,out,out
95,out,hallC,other,out
96,out,out,other,out
97,mainHall,mainHall,hallA,out
98,mainHall,mainHall,other,out
99,out,out,mainHall,out
100,mainHall,mainHall,hallA,out
101,mainHall,other,mainHall,out
102,other,hallB,out,out
103,other,hallC,hallC,out
104,other,other,other,out
105,mainHall,mainHall,hallA,out
106,out,hallC,hallC,out
107,other,hallB,hallB,out
108,mainHall,mainHall,hallA,out
109,mainHall,mainHall,hallA,out
110,exhibition,mainHall,other,out
111,mainHall,mainHall,hallA,out
112,mainHall,mainHall,hallA,out
113,mainHall,mainHall,hallA,out
114,out,hallA,other,out
115,mainHall,mainHall,other,out
116,out,hallB,other,out
117,mainHall,mainHall,other,out
118,mainHall,mainHall,other,out
119,other,other,other,out
120,mainHall,other,mainHall,out
121,other,other,out,out
122,mainHall,mainHall,other,out
123,mainHall,mainHall,hallA,out
124,other,hallB,hallB,out
125,mainHall,mainHall,hallA,out
126,other,other,other,out
127,out,hallB,other,out
128,mainHall,hallB,mainHall,out
129,out,hallB,hallB,out
130,out,hallA,hallA,out
131,other,hallB,other,out
132,other,hallB,hallB,out
133,mainHall,mainHall,mainHall,out
134,mainHall,mainHall,other,out
135,mainHall,mainHall,hallA,out
136,mainHall,mainHall,hallA,out
137,mainHall,mainHall,hallA,out
138,other,hallB,other,out
139,out,mainHall,mainHall,out
140,mainHall,mainHall,hallA,out
141,mainHall,mainHall,other,out
142,mainHall,exhibition,out,out
143,mainHall,mainHall,hallA,out
144,exhibition,exhibition,mainHall,out
145,other,hallB,other,out
146,out,mainHall,exhibition,out
147,mainHall,mainHall,mainHall,out
148,out,out,mainHall,out
149,mainHall,hallB,out,out
150,mainHall,mainHall,mainHall,out
151,out,hallB,hallA,out
152,mainHall,hallB,mainHall,out
153,other,other,hallA,out
154,mainHall,mainHall,hallA,out
155,mainHall,hallB,mainHall,out
156,exhibition,exhibition,mainHall,out
157,mainHall,mainHall,hallA,out
158,mainHall,mainHall,hallA,out
159,mainHall,mainHall,hallA,out
160,other,other,other,out
161,mainHall,mainHall,hallA,out
162,other,hallC,other,out
163,out,hallB,other,out
164,mainHall,mainHall,hallA,out
165,mainHall,mainHall,mainHall,out
166,other,other,out,out
167,out,mainHall,other,out
168,mainHall,mainHall,other,out
169,out,hallB,other,out
170,exhibition,mainHall,mainHall,out
171,mainHall,mainHall,mainHall,out
172,out,out,mainHall,out
173,mainHall,mainHall,hallA,out
174,mainHall,mainHall,mainHall,out
175,out,hallB,exhibition,out
176,other,other,other,out
177,other,other,other,out
178,mainHall,mainHall,mainHall,out
179,mainHall,mainHall,hallA,out
180,exhibition,other,other,out
181,out,mainHall,mainHall,out
182,mainHall,mainHall,mainHall,out
183,mainHall,mainHall,mainHall,out
184,other,mainHall,other,out
185,mainHall,hallB,mainHall,out
186,out,hallB,other,out
187,out,hallB,out,out
188,other,hallC,other,out
189,mainHall,mainHall,hallA,out
190,mainHall,hallB,mainHall,out
191,out,hallB,hallB,out
192,out,hallB,other,out
193,out,hallB,out,out
194,out,other,hallA,out
195,exhibition,hallB,other,out
196,exhibition,out,out,out
197,out,hallA,hallA,out
198,out,other,out,out
199,mainHall,other,mainHall,out
200,out,out,other,out
201,other,hallB,out,out
202,exhibition,mainHall,other,out
203,mainHall,mainHall,hallA,out
204,mainHall,mainHall,hallA,out
205,out,hallC,out,out
206,other,hallC,other,out
207,mainHall,hallB,other,out
208,mainHall,mainHall,hallA,out
209,mainHall,mainHall,hallA,out
210,mainHall,mainHall,other,out
211,mainHall,other,mainHall,out
212,mainHall,mainHall,out,out
213,other,other,other,out
214,mainHall,mainHall,hallA,out
215,mainHall,mainHall,hallA,out
216,out,hallC,other,out
217,mainHall,mainHall,hallA,out
218,mainHall,hallB,mainHall,out
219,out,hallB,other,out
220,out,out,other,out
221,other,other,other,out
222,mainHall,hallB,mainHall,out
223,mainHall,mainHall,other,out
224,mainHall,mainHall,hallA,out
225,other,other,other,out
226,mainHall,mainHall,hallA,out
227,out,other,other,out
228,other,hallA,out,out
229,exhibition,other,other,out
230,out,other,other,out
231,other,other,out,out
232,mainHall,mainHall,mainHall,out
233,mainHall,mainHall,mainHall,out
234,out,other,other,out
235,mainHall,out,out,out
236,out,hallB,other,out
237,out,other,out,out
238,other,mainHall,mainHall,out
239,out,hallC,out,out
240,out,hallB,other,out
241,out,hallB,out,out
242,out,hallB,hallB,out
243,out,hallB,hallB,out
244,out,other,out,out
245,mainHall,mainHall,hallA,out
246,mainHall,mainHall,hallA,out
247,mainHall,mainHall,other,out
248,mainHall,mainHall,other,out
249,mainHall,mainHall,mainHall,out
250,out,mainHall,mainHall,out
251,mainHall,mainHall,mainHall,out
252,out,exhibition,out,out
253,out,other,mainHall,out
254,mainHall,hallB,mainHall,out
255,mainHall,hallB,mainHall,out
256,mainHall,mainHall,mainHall,out
257,mainHall,hallB,mainHall,out
258,out,hallA,other,out
259,out,hallC,out,out
260,mainHall,mainHall,hallA,out
261,mainHall,mainHall,out,out
262,mainHall,mainHall,hallA,out
263,mainHall,mainHall,other,out
264,out,out,exhibition,out
265,mainHall,other,other,out
266,other,other,other,out
267,out,hallB,hallB,out
268,other,other,out,out
269,mainHall,mainHall,other,out
270,out,other,mainHall,out
271,mainHall,other,exhibition,out
272,mainHall,mainHall,other,out
273,out,hallA,hallA,out
274,mainHall,hallB,mainHall,out
275,out,other,other,out
276,out,hallB,hallB,out
277,mainHall,mainHall,hallA,out
278,mainHall,out,out,out
279,out,other,other,out
280,mainHall,hallB,mainHall,out
281,out,out,other,out
282,other,other,out,out
283,mainHall,hallB,mainHall,out
284,other,mainHall,mainHall,out
285,mainHall,hallB,mainHall,out
286,out,other,other,out
287,mainHall,mainHall,hallA,out
288,mainHall,hallB,out,out
289,mainHall,mainHall,hallA,out
290,out,hallB,out,out
291,mainHall,mainHall,mainHall,out
292,out,hallB,out,out
293,out,hallB,hallA,out
294,mainHall,hallB,mainHall,out
295,mainHall,mainHall,hallA,out
296,exhibition,exhibition,other,out
297,out,hallB,other,out
298,other,other,other,out
299,other,other,other,out
300,mainHall,mainHall,mainHall,out
301,mainHall,mainHall,hallA,out
302,mainHall,hallB,other,out
303,other,other,out,out
304,exhibition,out,out,out
305,out,hallA,hallA,out
306,other,out,out,out
307,out,hallB,out,out
308,mainHall,mainHall,mainHall,out
309,mainHall,hallB,mainHall,out
310,other,hallB,other,out
311,other,other,hallA,out
312,out,out,out,out
313,out,hallB,out,out
314,out,other,exhibition,out
315,mainHall,mainHall,mainHall,out
316,mainHall,mainHall,hallA,out
317,other,other,other,out
318,mainHall,hallB,out,out
319,mainHall,mainHall,mainHall,out
320,other,hallB,other,out
321,mainHall,mainHall,hallA,out
322,mainHall,mainHall,other,out
323,mainHall,mainHall,hallA,out
324,mainHall,mainHall,hallA,out
325,mainHall,mainHall,other,out
326,mainHall,other,mainHall,out
327,mainHall,mainHall,mainHall,out
328,other,hallB,other,out
329,out,out,other,out
330,out,hallC,hallC,out
331,exhibition,exhibition,out,out
332,mainHall,mainHall,hallA,out
333,mainHall,mainHall,mainHall,out
334,out,mainHall,mainHall,out
335,other,other,other,out
336,out,hallB,other,out
337,mainHall,hallB,out,out
338,mainHall,mainHall,hallA,out
339,other,other,out,out
340,mainHall,hallB,mainHall,out
341,mainHall,mainHall,other,out
342,mainHall,mainHall,mainHall,out
343,mainHall,mainHall,out,out
344,mainHall,hallB,mainHall,out
345,mainHall,mainHall,hallA,out
346,mainHall,other,mainHall,out
347,mainHall,mainHall,mainHall,out
348,out,out,other,out
349,out,hallB,mainHall,out
350,mainHall,out,out,out
351,mainHall,mainHall,hallA,out
352,out,hallA,hallA,out
353,mainHall,mainHall,hallA,out
354,mainHall,mainHall,hallA,out
355,other,hallC,hallC,out
356,mainHall,mainHall,hallA,out
357,mainHall,mainHall,hallA,out
358,other,exhibition,other,out
359,hallB,hallB,out,out
360,other,hallB,out,out
361,mainHall,mainHall,hallA,out
362,mainHall,mainHall,hallA,out
363,mainHall,mainHall,other,out
364,out,other,out,out
365,other,other,other,other
366,mainHall,mainHall,hallA,out
367,mainHall,mainHall,hallA,out
368,mainHall,other,other,out
369,mainHall,mainHall,hallA,out
370,out,hallB,out,out
371,mainHall,mainHall,hallA,out
372,other,hallB,other,out
373,mainHall,mainHall,hallA,out
374,mainHall,mainHall,mainHall,out
375,other,other,other,out
376,mainHall,mainHall,mainHall,out
377,mainHall,mainHall,mainHall,out
378,out,hallB,out,out
379,other,hallA,hallA,out
380,mainHall,mainHall,mainHall,out
381,mainHall,mainHall,mainHall,out
382,mainHall,mainHall,mainHall,out
383,other,hallA,hallA,out
384,other,hallB,hallB,out
385,out,out,out,out
386,other,hallB,other,out
387,mainHall,mainHall,hallA,out
388,mainHall,mainHall,out,out
389,out,other,other,out
390,mainHall,mainHall,hallA,out
391,exhibition,hallB,mainHall,out
392,out,hallB,hallB,out
393,out,out,other,out
394,mainHall,hallB,other,out
395,mainHall,mainHall,hallA,out
396,mainHall,mainHall,hallA,out
397,out,hallA,out,out
398,out,out,mainHall,out
399,mainHall,mainHall,hallA,out
400,out,out,other,out
401,mainHall,mainHall,mainHall,out
402,other,hallC,other,out
403,other,other,other,mainHall
404,mainHall,mainHall,hallA,out
405,out,hallB,out,out
406,out,other,out,out
407,out,other,out,out
408,other,hallB,hallB,out
409,mainHall,mainHall,other,out
410,mainHall,mainHall,other,out
411,mainHall,other,out,out
412,mainHall,mainHall,other,out
413,out,hallC,other,out
414,mainHall,mainHall,other,out
415,other,hallC,out,out
416,mainHall,hallB,mainHall,out
417,mainHall,mainHall,mainHall,out
418,out,hallC,out,out
419,mainHall,other,mainHall,out
420,out,hallB,other,out
421,mainHall,mainHall,mainHall,out
422,other,other,other,other
423,mainHall,mainHall,mainHall,out
424,out,other,out,out
425,other,other,other,out
426,mainHall,hallB,mainHall,out
427,mainHall,mainHall,mainHall,out
428,other,hallA,hallA,out
429,mainHall,other,mainHall,out
430,out,other,other,out
431,out,out,other,out
432,out,hallB,mainHall,out
433,other,hallA,hallA,out
434,other,other,exhibition,out
435,mainHall,hallB,mainHall,out
436,out,hallC,other,out
437,mainHall,mainHall,hallA,out
438,mainHall,mainHall,out,out
439,mainHall,mainHall,hallA,out
440,mainHall,hallB,mainHall,out
441,other,mainHall,other,out
442,mainHall,mainHall,out,out
443,other,other,other,out
444,other,other,other,out
445,mainHall,mainHall,hallA,out
446,out,out,out,out
447,mainHall,out,out,out
448,mainHall,mainHall,hallA,out
449,mainHall,mainHall,mainHall,out
450,other,hallB,other,out
451,out,hallB,out,out
452,other,other,other,out
453,out,hallA,hallA,out
454,out,hallC,other,out
455,out,out,other,out
456,mainHall,mainHall,hallA,out
457,mainHall,mainHall,other,out
458,mainHall,hallB,out,out
459,mainHall,hallB,mainHall,out
460,other,hallC,other,out
461,other,hallB,other,out
462,exhibition,exhibition,exhibition,out
463,mainHall,hallB,mainHall,out
464,mainHall,hallB,mainHall,out
465,other,other,out,out
466,mainHall,mainHall,mainHall,out
467,other,other,out,out
468,mainHall,hallB,other,out
469,other,hallB,hallB,out
470,other,other,other,out
471,out,out,mainHall,out
472,mainHall,hallB,mainHall,out
473,out,hallC,hallC,out
474,out,hallC,other,out
475,mainHall,mainHall,mainHall,out
476,other,other,other,out
477,mainHall,mainHall,mainHall,out
478,other,other,out,out
479,mainHall,mainHall,hallA,out
480,other,hallB,mainHall,out
481,out,hallC,out,out
482,mainHall,mainHall,other,out
483,mainHall,hallB,mainHall,out
484,other,other,out,out
485,mainHall,mainHall,hallA,out
486,other,other,out,out
487,mainHall,mainHall,hallA,out
488,out,hallC,hallC,out
489,other,exhibition,out,out
490,mainHall,other,mainHall,out
491,mainHall,hallB,mainHall,out
492,mainHall,mainHall,hallA,out
493,mainHall,mainHall,hallA,out
494,mainHall,mainHall,hallA,out
495,mainHall,hallB,out,out
496,out,mainHall,mainHall,out
497,out,hallB,out,out
498,out,out,exhibition,out
499,mainHall,mainHall,other,out
500,other,other,out,out
501,other,other,other,out
502,other,other,other,out
503,out,out,exhibition,out
504,mainHall,mainHall,out,out
505,mainHall,other,out,out
506,mainHall,hallB,out,out
507,mainHall,hallB,mainHall,out
508,other,other,other,out
509,mainHall,mainHall,hallA,out
510,out,other,other,out
511,mainHall,other,mainHall,out
512,mainHall,mainHall,other,out
513,mainHall,mainHall,hallA,out
514,exhibition,exhibition,other,out
515,mainHall,mainHall,out,out
516,other,hallB,other,out
517,other,other,other,out
518,mainHall,mainHall,hallA,out
519,other,other,other,out
520,out,hallC,out,out
521,other,other,other,out
522,mainHall,mainHall,hallA,out
523,out,other,out,out
524,other,other,other,out
525,out,mainHall,mainHall,out
526,out,hallB,other,out
527,other,other,other,out
528,out,out,mainHall,out
529,other,other,other,out
530,mainHall,mainHall,mainHall,out
531,mainHall,mainHall,mainHall,out
532,out,out,mainHall,out
533,out,out,mainHall,out
534,other,other,other,out
535,mainHall,hallB,mainHall,out
536,out,hallA,hallA,out
537,mainHall,mainHall,mainHall,out
538,mainHall,out,out,out
539,other,hallC,out,out
540,out,hallC,other,out
541,mainHall,hallB,mainHall,out
542,mainHall,exhibition,out,out
543,mainHall,mainHall,hallA,out
544,exhibition,mainHall,other,out
545,mainHall,mainHall,out,out
546,mainHall,other,mainHall,out
547,mainHall,mainHall,out,out
548,other,other,out,out
549,mainHall,mainHall,hallA,out
550,mainHall,mainHall,hallA,out
551,mainHall,mainHall,hallA,out
552,mainHall,hallB,mainHall,out
553,mainHall,mainHall,hallA,out
554,other,other,other,out
555,other,hallA,other,out
556,mainHall,hallB,out,out
557,other,hallB,other,out
558,out,out,mainHall,out
559,exhibition,mainHall,other,out
560,mainHall,mainHall,mainHall,out
561,out,out,out,out
562,mainHall,other,mainHall,out
563,mainHall,hallB,mainHall,out
564,other,other,out,out
565,mainHall,mainHall,mainHall,out
566,out,hallC,other,out
567,out,other,other,out
568,out,hallB,out,out
569,mainHall,mainHall,hallA,out
570,exhibition,other,mainHall,out
571,other,hallB,other,out
572,mainHall,mainHall,hallA,out
573,mainHall,mainHall,mainHall,out
574,other,hallB,other,out
575,mainHall,mainHall,hallA,out
576,mainHall,mainHall,other,out
577,out,hallB,hallB,out
578,mainHall,mainHall,hallA,out
579,out,mainHall,mainHall,out
580,out,mainHall,mainHall,out
581,mainHall,mainHall,other,out
582,mainHall,mainHall,hallA,out
583,exhibition,exhibition,mainHall,out
584,out,hallC,hallC,out
585,mainHall,mainHall,mainHall,out
586,mainHall,mainHall,other,out
587,mainHall,hallB,mainHall,out
588,mainHall,mainHall,hallA,out
589,mainHall,mainHall,other,out
590,mainHall,hallB,mainHall,out
591,mainHall,mainHall,mainHall,out
592,mainHall,mainHall,other,out
593,mainHall,hallB,out,out
594,out,hallC,hallC,out
595,mainHall,out,out,out
596,exhibition,hallB,out,out
597,mainHall,mainHall,hallA,out
598,mainHall,mainHall,other,out
599,out,hallA,hallA,out
600,other,other,hallA,out
601,mainHall,mainHall,hallA,out
602,out,hallB,other,out
603,other,other,other,out
604,mainHall,mainHall,mainHall,out
605,other,other,other,out
606,other,other,out,out
607,mainHall,hallB,other,out
608,out,other,other,out
609,exhibition,hallC,other,out
610,other,other,out,out
611,mainHall,mainHall,hallA,out
612,mainHall,hallB,out,out
613,mainHall,hallB,mainHall,out
614,mainHall,mainHall,hallA,out
615,other,other,other,out
616,mainHall,hallB,mainHall,out
617,mainHall,mainHall,hallA,out
618,out,hallB,out,out
619,mainHall,mainHall,other,out
620,mainHall,hallB,mainHall,out
621,mainHall,mainHall,hallA,out
622,mainHall,mainHall,mainHall,out
623,mainHall,mainHall,mainHall,out
624,out,hallB,out,out
625,out,hallB,other,out
626,mainHall,mainHall,other,out
627,mainHall,mainHall,hallA,out
628,out,hallA,hallA,out
629,other,other,other,out
630,out,other,exhibition,out
631,out,hallB,out,out
632,mainHall,out,out,out
633,mainHall,mainHall,out,out
634,other,hallA,hallA,out
635,out,out,mainHall,out
636,mainHall,mainHall,mainHall,out
637,mainHall,mainHall,other,out
638,exhibition,hallB,other,out
639,mainHall,mainHall,hallA,out
640,mainHall,mainHall,hallA,out
641,mainHall,mainHall,out,out
642,mainHall,other,out,out
643,out,hallC,hallC,out
644,other,other,out,out
645,mainHall,mainHall,hallA,out
646,mainHall,mainHall,mainHall,out
647,mainHall,exhibition,other,out
648,other,hallC,out,out
649,out,hallC,other,out
650,out,other,other,out
651,other,other,out,out
652,mainHall,mainHall,mainHall,out
653,out,hallB,other,out
654,mainHall,mainHall,hallA,out
655,mainHall,mainHall,hallA,out
656,mainHall,mainHall,hallA,out
657,out,other,other,out
658,out,other,other,out
659,mainHall,mainHall,hallA,out
660,mainHall,hallB,mainHall,out
661,other,other,other,out
662,out,other,other,out
663,out,hallA,hallA,out
664,mainHall,mainHall,hallA,out
665,mainHall,mainHall,hallA,out
666,other,hallB,out,out
667,other,hallC,out,out
668,mainHall,mainHall,hallA,out
669,mainHall,mainHall,mainHall,out
670,mainHall,other,mainHall,out
671,other,other,other,out
672,other,hallB,other,out
673,out,hallB,mainHall,out
674,mainHall,mainHall,hallA,out
675,out,hallA,hallA,out
676,out,hallA,hallA,out
677,exhibition,hallC,hallC,out
678,out,hallB,hallB,out
679,mainHall,hallB,mainHall,out
680,other,hallB,other,out
681,out,out,mainHall,out
682,mainHall,mainHall,mainHall,out
683,out,other,other,out
684,other,other,other,out
685,other,other,other,out
686,mainHall,mainHall,hallA,out
687,out,hallB,out,out
688,mainHall,hallB,mainHall,out
689,mainHall,mainHall,mainHall,out
690,out,mainHall,mainHall,out
691,other,other,other,out
692,other,other,out,out
693,out,hallB,other,out
694,mainHall,mainHall,hallA,out
695,mainHall,mainHall,hallA,out
696,other,hallC,other,out
697,other,other,other,out
698,other,hallB,out,out
699,out,hallA,hallA,out
700,mainHall,hallB,mainHall,out
701,mainHall,other,mainHall,out
702,other,other,other,out
703,mainHall,mainHall,hallA,out
704,mainHall,mainHall,hallA,out
705,out,other,mainHall,out
706,mainHall,mainHall,hallA,out
707,mainHall,out,out,out
708,other,mainHall,mainHall,out
709,out,hallB,out,out
710,out,out,out,out
711,mainHall,mainHall,hallA,out
712,other,hallB,other,out
713,mainHall,mainHall,hallA,out
714,out,other,other,out
715,out,other,other,out
716,mainHall,mainHall,hallA,out
717,mainHall,mainHall,hallA,out
718,mainHall,mainHall,mainHall,out
719,other,hallB,other,out
720,mainHall,mainHall,hallA,out
721,mainHall,mainHall,other,out
722,mainHall,hallB,mainHall,out
723,mainHall,mainHall,hallA,out
724,other,hallB,out,out
725,mainHall,mainHall,other,out
726,exhibition,other,mainHall,out
727,out,hallB,other,out
728,out,other,other,out
729,other,other,other,out
730,mainHall,hallB,mainHall,out
731,mainHall,mainHall,mainHall,out
732,exhibition,other,mainHall,out
733,out,hallA,other,out
734,mainHall,mainHall,hallA,out
735,other,hallC,other,out
736,other,mainHall,mainHall,out
737,mainHall,mainHall,hallA,out
738,mainHall,mainHall,hallA,out
739,out,hallB,other,out
740,out,hallC,hallC,out
741,mainHall,hallB,mainHall,out
742,mainHall,mainHall,other,out
743,mainHall,mainHall,mainHall,out
744,mainHall,mainHall,hallA,out
745,out,hallC,hallC,out
746,mainHall,mainHall,hallA,out
747,out,hallB,other,out
748,exhibition,mainHall,out,out
749,mainHall,mainHall,other,out
750,mainHall,mainHall,hallA,out
751,out,hallC,out,out
752,mainHall,mainHall,mainHall,out
753,other,other,other,out
754,mainHall,hallB,mainHall,out
755,other,other,other,out
756,other,mainHall,out,out
757,mainHall,mainHall,hallA,out
758,mainHall,hallB,mainHall,out
759,mainHall,mainHall,mainHall,out
760,out,hallB,hallB,out
761,out,out,mainHall,out
762,other,other,other,out
763,out,other,other,out
764,mainHall,mainHall,hallA,out
765,other,other,other,out
766,other,other,other,out
767,mainHall,mainHall,other,out
768,mainHall,hallB,mainHall,out
769,other,hallC,other,out
770,exhibition,mainHall,mainHall,out
771,mainHall,mainHall,hallA,out
772,mainHall,hallB,mainHall,out
773,mainHall,other,mainHall,out
774,other,hallB,out,out
775,mainHall,mainHall,mainHall,out
776,mainHall,mainHall,hallA,out
777,other,other,other,out
778,mainHall,mainHall,mainHall,out
779,other,hallB,other,out
780,mainHall,mainHall,mainHall,out
781,other,other,other,out
782,mainHall,mainHall,hallA,out
783,out,out,mainHall,out
784,mainHall,hallB,mainHall,out
785,other,other,other,out
786,out,mainHall,mainHall,out
787,mainHall,mainHall,other,out
788,mainHall,other,mainHall,out
789,other,hallC,hallC,out
790,other,other,other,out
791,mainHall,mainHall,other,out
792,out,hallB,other,out
793,out,hallB,out,out
794,mainHall,hallB,out,out
795,exhibition,hallB,other,out
796,mainHall,mainHall,hallA,out
797,mainHall,mainHall,mainHall,out
798,mainHall,mainHall,other,out
799,out,mainHall,mainHall,out
800,mainHall,mainHall,hallA,out
801,other,other,out,out
802,mainHall,mainHall,hallA,out
803,out,out,mainHall,out
804,mainHall,mainHall,hallA,out
805,mainHall,other,mainHall,out
806,out,hallA,hallA,out
807,mainHall,mainHall,hallA,out
808,mainHall,mainHall,hallA,out
809,mainHall,mainHall,mainHall,out
810,out,hallB,other,out
811,out,mainHall,mainHall,out
812,mainHall,mainHall,other,out
813,mainHall,mainHall,hallA,out
814,mainHall,mainHall,other,out
815,out,mainHall,mainHall,out
816,other,hallB,hallB,out
817,mainHall,mainHall,hallA,out
818,mainHall,mainHall,hallA,out
819,mainHall,mainHall,hallA,out
820,mainHall,mainHall,mainHall,out
821,mainHall,mainHall,mainHall,out
822,mainHall,mainHall,out,out
823,other,other,other,out
824,mainHall,hallB,mainHall,out
825,mainHall,mainHall,other,out
826,other,hallB,other,out
827,mainHall,mainHall,out,out
828,exhibition,out,out,out
829,mainHall,mainHall,hallA,out
830,mainHall,hallB,mainHall,out
831,mainHall,mainHall,hallA,out
832,out,other,other,out
833,mainHall,out,out,out
834,mainHall,mainHall,other,out
835,other,hallA,out,out
836,out,hallC,other,out
837,mainHall,mainHall,other,out
838,mainHall,exhibition,mainHall,out
839,mainHall,mainHall,hallA,out
840,mainHall,mainHall,mainHall,out
841,mainHall,mainHall,hallA,out
842,other,other,other,other
843,mainHall,mainHall,mainHall,out
844,out,out,mainHall,out
845,mainHall,mainHall,hallA,out
846,out,hallB,other,out
847,out,hallB,hallB,out
848,mainHall,mainHall,hallA,out
849,mainHall,out,out,out
850,mainHall,hallB,mainHall,out
851,mainHall,out,out,out
852,out,hallA,hallA,out
853,out,out,other,out
854,mainHall,mainHall,mainHall,out
855,mainHall,mainHall,hallA,out
856,out,mainHall,mainHall,out
857,mainHall,other,mainHall,out
858,mainHall,mainHall,mainHall,out
859,mainHall,out,out,out
860,exhibition,hallB,other,out
861,other,other,out,out
862,mainHall,mainHall,hallA,out
863,mainHall,mainHall,mainHall,out
864,other,hallB,hallB,out
865,mainHall,hallB,other,out
866,mainHall,mainHall,mainHall,out
867,out,hallB,hallA,out
868,out,other,other,out
869,mainHall,mainHall,other,out
870,mainHall,other,other,out
871,other,other,other,out
872,other,other,other,out
873,out,out,out,out
874,mainHall,mainHall,hallA,out
875,mainHall,other,mainHall,out
876,mainHall,mainHall,hallA,out
877,mainHall,mainHall,hallA,out
878,other,hallB,out,out
879,mainHall,mainHall,other,out
880,mainHall,mainHall,hallA,out
881,out,hallB,other,out
882,mainHall,mainHall,hallA,out
883,out,hallB,hallA,out
884,mainHall,mainHall,mainHall,out
885,mainHall,mainHall,hallA,out
886,out,hallB,other,out
887,mainHall,mainHall,mainHall,out
888,mainHall,hallB,mainHall,out
889,mainHall,mainHall,hallA,out
890,out,hallC,out,out
891,mainHall,mainHall,mainHall,out
892,mainHall,mainHall,hallA,out
893,mainHall,mainHall,other,out
894,exhibition,mainHall,out,out
895,out,out,out,out
896,other,other,other,out
897,other,hallB,out,out
898,mainHall,mainHall,out,out
899,exhibition,other,mainHall,out
900,out,hallB,other,out
901,mainHall,hallB,mainHall,out
902,out,hallC,out,out
903,mainHall,other,mainHall,out
904,mainHall,out,out,out
905,mainHall,hallB,mainHall,out
906,other,other,other,out
907,other,other,out,out
908,mainHall,mainHall,other,out
909,out,hallB,out,out
910,exhibition,hallC,out,out
911,out,hallB,other,out
912,other,other,out,out
913,mainHall,mainHall,hallA,out
914,other,hallB,hallB,out
915,other,other,other,out
916,mainHall,mainHall,mainHall,out
917,other,hallB,out,out
918,out,hallC,other,out
919,mainHall,mainHall,hallA,out
920,mainHall,mainHall,hallA,out
921,mainHall,mainHall,other,out
922,mainHall,out,out,out
923,other,other,other,out
924,mainHall,hallB,mainHall,out
925,mainHall,hallB,mainHall,out
926,mainHall,mainHall,mainHall,out
927,other,hallB,out,out
928,mainHall,mainHall,other,out
929,mainHall,hallB,other,out
930,other,hallB,out,out
931,other,other,other,out
932,mainHall,other,mainHall,out
933,mainHall,mainHall,hallA,out
934,mainHall,hallB,mainHall,out
935,mainHall,mainHall,mainHall,out
936,mainHall,mainHall,hallA,out
